ticker,name,asset_class,index_membership,sector,market_cap_bucket,status,validated,validation_error
BTC-USD,Bitcoin,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
ETH-USD,Ethereum,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE,WAVE_INFINITY_MULTI-ASSET_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
BNB-USD,Binance Coin,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
XRP-USD,Ripple,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
SOL-USD,Solana,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
ADA-USD,Cardano,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
DOGE-USD,Dogecoin,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
AVAX-USD,Avalanche,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
TRX-USD,TRON,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
DOT-USD,Polkadot,crypto,"WAVE_CRYPTO_BROAD_GROWTH_WAVE,WAVE_CRYPTO_L1_GROWTH_WAVE",Cryptocurrency,large,active,not_checked,
LINK-USD,Chainlink,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
MATIC-USD,Polygon,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
TON-USD,Toncoin,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
SHIB-USD,Shiba Inu,crypto,,Cryptocurrency,large,active,not_checked,
LTC-USD,Litecoin,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
BCH-USD,Bitcoin Cash,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
UNI-USD,Uniswap,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,large,active,not_checked,
ATOM-USD,Cosmos,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,large,active,not_checked,
XLM-USD,Stellar,crypto,WAVE_CRYPTO_BROAD_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
NEAR-USD,NEAR Protocol,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
APT-USD,Aptos,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
ICP-USD,Internet Computer,crypto,WAVE_CRYPTO_AI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
FIL-USD,Filecoin,crypto,,Cryptocurrency,mid,active,not_checked,
ARB-USD,Arbitrum,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
OP-USD,Optimism,crypto,WAVE_CRYPTO_L2_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
HBAR-USD,Hedera,crypto,,Cryptocurrency,mid,active,not_checked,
VET-USD,VeChain,crypto,,Cryptocurrency,mid,active,not_checked,
AAVE-USD,Aave,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,mid,active,not_checked,
MKR-USD,Maker,crypto,"WAVE_CRYPTO_DEFI_GROWTH_WAVE,WAVE_CRYPTO_INCOME_WAVE",Cryptocurrency,mid,active,not_checked,
GRT-USD,The Graph,crypto,,Cryptocurrency,mid,active,not_checked,
ALGO-USD,Algorand,crypto,WAVE_CRYPTO_L1_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
INJ-USD,Injective,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
SNX-USD,Synthetix,crypto,WAVE_CRYPTO_DEFI_GROWTH_WAVE,Cryptocurrency,mid,active,not_checked,
