wave,horizon,total_alpha,selection_alpha,momentum_alpha,volatility_alpha,regime_alpha,exposure_alpha,residual_alpha
AI & Cloud MegaCap Wave,30,-0.0258725773091453,-0.01034903092365812,-0.006468144327286325,-0.00258725773091453,-0.00258725773091453,-0.00258725773091453,-0.0012936288654572664
AI & Cloud MegaCap Wave,60,-0.0913191773473908,-0.03652767093895632,-0.0228297943368477,-0.00913191773473908,-0.00913191773473908,-0.00913191773473908,-0.004565958867369546
AI & Cloud MegaCap Wave,365,0.1165178244857441,0.046607129794297646,0.029129456121436026,0.011651782448574411,0.011651782448574411,0.011651782448574411,0.005825891224287186
Clean Transit-Infrastructure Wave,30,0.0025246746473479,0.00100986985893916,0.000631168661836975,0.00025246746473479,0.00025246746473479,0.00025246746473479,0.00012623373236739493
Clean Transit-Infrastructure Wave,60,0.0262022175174345,0.010480887006973801,0.006550554379358625,0.0026202217517434503,0.0026202217517434503,0.0026202217517434503,0.0013101108758717221
Clean Transit-Infrastructure Wave,365,0.1980623561333758,0.07922494245335032,0.04951558903334395,0.01980623561333758,0.01980623561333758,0.01980623561333758,0.009903117806668776
Crypto Broad Growth Wave,30,0.0105854178291877,0.00423416713167508,0.002646354457296925,0.00105854178291877,0.00105854178291877,0.00105854178291877,0.0005292708914593856
Crypto Broad Growth Wave,60,-0.0235429407156603,-0.009417176286264121,-0.005885735178915075,-0.0023542940715660303,-0.0023542940715660303,-0.0023542940715660303,-0.0011771470357830119
Crypto Broad Growth Wave,365,-0.1611167269504242,-0.06444669078016968,-0.04027918173760605,-0.01611167269504242,-0.01611167269504242,-0.01611167269504242,-0.00805583634752119
Crypto DeFi Growth Wave,30,0.012844877233564,0.0051379508934256005,0.003211219308391,0.0012844877233564001,0.0012844877233564001,0.0012844877233564001,0.0006422438616782
Crypto DeFi Growth Wave,60,0.1212216916271413,0.04848867665085652,0.030305422906785326,0.01212216916271413,0.01212216916271413,0.01212216916271413,0.00606108458135704
Crypto DeFi Growth Wave,365,-0.2943040473723438,-0.11772161894893751,-0.07357601184308594,-0.029430404737234378,-0.029430404737234378,-0.029430404737234378,-0.014715202368617175
Crypto Income Wave,30,-0.139797083410591,-0.0559188333642364,-0.03494927085264775,-0.0139797083410591,-0.0139797083410591,-0.0139797083410591,-0.006989854170529525
Crypto Income Wave,60,-0.3256881323211259,-0.13027525292845038,-0.08142203308028148,-0.032568813232112595,-0.032568813232112595,-0.032568813232112595,-0.01628440661605629
Crypto Income Wave,365,-0.3876620786423416,-0.15506483145693664,-0.0969155196605854,-0.03876620786423416,-0.03876620786423416,-0.03876620786423416,-0.019383103932117007
Crypto L1 Growth Wave,30,-0.0471330095985573,-0.01885320383942292,-0.011783252399639324,-0.00471330095985573,-0.00471330095985573,-0.00471330095985573,-0.00235665047992787
Crypto L1 Growth Wave,60,0.3453896199052342,0.13815584796209368,0.08634740497630855,0.03453896199052342,0.03453896199052342,0.03453896199052342,0.01726948099526171
Crypto L1 Growth Wave,365,-0.0620100143864046,-0.02480400575456184,-0.01550250359660115,-0.00620100143864046,-0.00620100143864046,-0.00620100143864046,-0.0031005007193202205
Demas Fund Wave,30,-0.011771336031073,-0.0047085344124292005,-0.00294283400776825,-0.0011771336031073001,-0.0011771336031073001,-0.0011771336031073001,-0.0005885668015536485
Demas Fund Wave,60,0.0158693940010041,0.006347757600401641,0.003967348500251025,0.0015869394001004102,0.0015869394001004102,0.0015869394001004102,0.0007934697000502051
Demas Fund Wave,365,0.0005317012915255,0.00021268051661020002,0.000132925322881375,5.3170129152550004e-05,5.3170129152550004e-05,5.3170129152550004e-05,2.6585064576274968e-05
EV & Infrastructure Wave,30,0.0095781634743383,0.0038312653897353203,0.002394540868584575,0.0009578163474338301,0.0009578163474338301,0.0009578163474338301,0.00047890817371691423
EV & Infrastructure Wave,60,0.036735484050778,0.0146941936203112,0.0091838710126945,0.0036735484050778,0.0036735484050778,0.0036735484050778,0.0018367742025388947
EV & Infrastructure Wave,365,0.1975667361391644,0.07902669445566576,0.0493916840347911,0.01975667361391644,0.01975667361391644,0.01975667361391644,0.009878336806958182
Future Energy & EV Wave,30,-0.005304840480134,-0.0021219361920536,-0.0013262101200335,-0.0005304840480134,-0.0005304840480134,-0.0005304840480134,-0.0002652420240067
Future Energy & EV Wave,60,0.0048919733145944,0.00195678932583776,0.0012229933286486,0.00048919733145944,0.00048919733145944,0.00048919733145944,0.00024459866572972
Future Energy & EV Wave,365,0.1379134572554088,0.05516538290216352,0.0344783643138522,0.01379134572554088,0.01379134572554088,0.01379134572554088,0.006895672862770402
Future Power & Energy Wave,30,0.0435173718335559,0.01740694873342236,0.010879342958388974,0.00435173718335559,0.00435173718335559,0.00435173718335559,0.0021758685916777945
Future Power & Energy Wave,60,0.0630603860522855,0.025224154420914205,0.015765096513071376,0.006306038605228551,0.006306038605228551,0.006306038605228551,0.003153019302614274
Future Power & Energy Wave,365,0.4872663659382201,0.19490654637528804,0.12181659148455502,0.04872663659382201,0.04872663659382201,0.04872663659382201,0.024363318296910907
Gold Wave,30,0.2034198833715939,0.08136795334863756,0.05085497084289847,0.02034198833715939,0.02034198833715939,0.02034198833715939,0.010170994168579695
Gold Wave,60,0.3037233531126255,0.1214893412450502,0.07593083827815637,0.03037233531126255,0.03037233531126255,0.03037233531126255,0.0151861676556313
Gold Wave,365,0.8512392366150319,0.34049569464601276,0.21280980915375797,0.08512392366150319,0.08512392366150319,0.08512392366150319,0.04256196183075145
Income Wave,30,0.0392194888629273,0.015687795545170923,0.009804872215731826,0.003921948886292731,0.003921948886292731,0.003921948886292731,0.001960974443146364
Income Wave,60,0.0782323240223905,0.0312929296089562,0.019558081005597625,0.00782323240223905,0.00782323240223905,0.00782323240223905,0.0039116162011195305
Income Wave,365,0.1401881880664355,0.0560752752265742,0.03504704701660887,0.01401881880664355,0.01401881880664355,0.01401881880664355,0.007009409403321787
Infinity Multi-Asset Growth Wave,30,-0.0370718338410973,-0.014828733536438921,-0.009267958460274325,-0.0037071833841097303,-0.0037071833841097303,-0.0037071833841097303,-0.0018535916920548595
Infinity Multi-Asset Growth Wave,60,-0.1808487662637129,-0.07233950650548517,-0.04521219156592823,-0.01808487662637129,-0.01808487662637129,-0.01808487662637129,-0.009042438313185658
Infinity Multi-Asset Growth Wave,365,-0.1294516464715123,-0.05178065858860492,-0.032362911617878076,-0.01294516464715123,-0.01294516464715123,-0.01294516464715123,-0.006472582323575615
Next-Gen Compute & Semis Wave,30,-0.0147630376592761,-0.005905215063710441,-0.003690759414819025,-0.0014763037659276102,-0.0014763037659276102,-0.0014763037659276102,-0.0007381518829638056
Next-Gen Compute & Semis Wave,60,-0.0402769084092794,-0.016110763363711762,-0.01006922710231985,-0.0040276908409279406,-0.0040276908409279406,-0.0040276908409279406,-0.0020138454204639694
Next-Gen Compute & Semis Wave,365,0.1578958728153896,0.06315834912615585,0.0394739682038474,0.015789587281538963,0.015789587281538963,0.015789587281538963,0.007894793640769476
Quantum Computing Wave,30,-0.0044875829209974,-0.0017950331683989603,-0.00112189573024935,-0.00044875829209974007,-0.00044875829209974007,-0.00044875829209974007,-0.00022437914604987036
Quantum Computing Wave,60,-0.0614067532092862,-0.024562701283714482,-0.01535168830232155,-0.0061406753209286204,-0.0061406753209286204,-0.0061406753209286204,-0.0030703376604643007
Quantum Computing Wave,365,0.3504999042073551,0.14019996168294205,0.08762497605183878,0.03504999042073551,0.03504999042073551,0.03504999042073551,0.01752499521036771
Russell 3000 Wave,30,0.0131016649793493,0.00524066599173972,0.003275416244837325,0.00131016649793493,0.00131016649793493,0.00131016649793493,0.0006550832489674637
Russell 3000 Wave,60,0.019080923615367,0.0076323694461468,0.00477023090384175,0.0019080923615367,0.0019080923615367,0.0019080923615367,0.0009540461807683483
Russell 3000 Wave,365,0.1499433761630482,0.059977350465219285,0.03748584404076205,0.014994337616304821,0.014994337616304821,0.014994337616304821,0.007497168808152405
S&P 500 Wave,30,0.0128583044341252,0.005143321773650081,0.0032145761085313,0.0012858304434125202,0.0012858304434125202,0.0012858304434125202,0.0006429152217062584
S&P 500 Wave,60,0.0154810523485715,0.006192420939428601,0.003870263087142875,0.0015481052348571501,0.0015481052348571501,0.0015481052348571501,0.0007740526174285726
S&P 500 Wave,365,0.1581952683516831,0.06327810734067324,0.039548817087920775,0.01581952683516831,0.01581952683516831,0.01581952683516831,0.007909763417584176
Small Cap Growth Wave,30,0.0259823523516053,0.010392940940642121,0.006495588087901325,0.0025982352351605303,0.0025982352351605303,0.0025982352351605303,0.0012991176175802636
Small Cap Growth Wave,60,0.0553573792927999,0.02214295171711996,0.013839344823199975,0.00553573792927999,0.00553573792927999,0.00553573792927999,0.0027678689646399857
Small Cap Growth Wave,365,0.1319501142879793,0.052780045715191716,0.03298752857199482,0.013195011428797929,0.013195011428797929,0.013195011428797929,0.00659750571439896
Small to Mid Cap Growth Wave,30,0.0220647917669585,0.0088259167067834,0.005516197941739625,0.00220647917669585,0.00220647917669585,0.00220647917669585,0.0011032395883479248
Small to Mid Cap Growth Wave,60,0.0532016166905056,0.02128064667620224,0.0133004041726264,0.00532016166905056,0.00532016166905056,0.00532016166905056,0.0026600808345252705
Small to Mid Cap Growth Wave,365,0.0890986432599199,0.03563945730396796,0.022274660814979974,0.00890986432599199,0.00890986432599199,0.00890986432599199,0.004454932162996
SmartSafe Tax-Free Money Market Wave,30,0.0082731337454129,0.00330925349816516,0.002068283436353225,0.00082731337454129,0.00082731337454129,0.00082731337454129,0.000413656687270645
SmartSafe Tax-Free Money Market Wave,60,0.0125675519802197,0.005027020792087881,0.003141887995054925,0.0012567551980219702,0.0012567551980219702,0.0012567551980219702,0.0006283775990109843
SmartSafe Tax-Free Money Market Wave,365,0.0424959491631562,0.01699837966526248,0.01062398729078905,0.00424959491631562,0.00424959491631562,0.00424959491631562,0.002124797458157801
SmartSafe Treasury Cash Wave,30,0.0045152231098792,0.0018060892439516801,0.0011288057774698,0.00045152231098792003,0.00045152231098792003,0.00045152231098792003,0.00022576115549396026
SmartSafe Treasury Cash Wave,60,0.0091016758517283,0.0036406703406913206,0.002275418962932075,0.0009101675851728301,0.0009101675851728301,0.0009101675851728301,0.0004550837925864151
