Wave_ID,Wave_Name,Asset_Class,Mode,Snapshot_Date,Return_1D,Return_30D,Return_60D,Return_365D,Alpha_1D,Alpha_30D,Alpha_60D,Alpha_365D,Benchmark_Return_1D,Benchmark_Return_30D,Benchmark_Return_60D,Benchmark_Return_365D,VIX_Regime,Exposure,CashPercent
ai_cloud_megacap_wave,AI & Cloud MegaCap Wave,Equity,Standard,,,,,,,,,,,,,,,,
clean_transit_infrastructure_wave,Clean Transit-Infrastructure Wave,Equity,Standard,,,,,,,,,,,,,,,,
crypto_ai_growth_wave,Crypto AI Growth Wave,Crypto,Standard,,,,,,,,,,,,,,,,
crypto_broad_growth_wave,Crypto Broad Growth Wave,Crypto,Standard,,,,,,,,,,,,,,,,
crypto_defi_growth_wave,Crypto DeFi Growth Wave,Crypto,Standard,,,,,,,,,,,,,,,,
crypto_income_wave,Crypto Income Wave,Crypto,Standard,,,,,,,,,,,,,,,,
crypto_l1_growth_wave,Crypto L1 Growth Wave,Crypto,Standard,,,,,,,,,,,,,,,,
crypto_l2_growth_wave,Crypto L2 Growth Wave,Crypto,Standard,,,,,,,,,,,,,,,,
demas_fund_wave,Demas Fund Wave,Equity,Standard,,,,,,,,,,,,,,,,
ev_infrastructure_wave,EV & Infrastructure Wave,Equity,Standard,,,,,,,,,,,,,,,,
future_energy_ev_wave,Future Energy & EV Wave,Equity,Standard,,,,,,,,,,,,,,,,
future_power_energy_wave,Future Power & Energy Wave,Equity,Standard,,,,,,,,,,,,,,,,
gold_wave,Gold Wave,Commodity,Standard,,,,,,,,,,,,,,,,
income_wave,Income Wave,Fixed Income,Standard,,,,,,,,,,,,,,,,
infinity_multi_asset_growth_wave,Infinity Multi-Asset Growth Wave,Multi-Asset,Standard,,,,,,,,,,,,,,,,
next_gen_compute_semis_wave,Next-Gen Compute & Semis Wave,Equity,Standard,,,,,,,,,,,,,,,,
quantum_computing_wave,Quantum Computing Wave,Equity,Standard,,,,,,,,,,,,,,,,
russell_3000_wave,Russell 3000 Wave,Equity,Standard,,,,,,,,,,,,,,,,
sp500_wave,S&P 500 Wave,Equity,Standard,,,,,,,,,,,,,,,,
small_cap_growth_wave,Small Cap Growth Wave,Equity,Standard,,,,,,,,,,,,,,,,
small_to_mid_cap_growth_wave,Small to Mid Cap Growth Wave,Equity,Standard,,,,,,,,,,,,,,,,
smartsafe_tax_free_money_market_wave,SmartSafe Tax-Free Money Market Wave,Cash,SmartSafe,,,,,,,,,,,,,,,,
smartsafe_treasury_cash_wave,SmartSafe Treasury Cash Wave,Cash,SmartSafe,,,,,,,,,,,,,,,,
us_megacap_core_wave,US MegaCap Core Wave,Equity,Standard,,,,,,,,,,,,,,,,
us_mid_small_growth_semis_wave,US Mid/Small Growth Semis Wave,Equity,Standard,,,,,,,,,,,,,,,,
us_small_cap_disruptors_wave,US Small-Cap Disruptors Wave,Equity,Standard,,,,,,,,,,,,,,,,
vector_muni_ladder_wave,Vector Muni Ladder Wave,Fixed Income,Standard,,,,,,,,,,,,,,,,
vector_treasury_ladder_wave,Vector Treasury Ladder Wave,Fixed Income,Standard,,,,,,,,,,,,,,,,
