wave,wave_return_1d,bm_return_1d,wave_return_30d,bm_return_30d,wave_return_60d,bm_return_60d,wave_return_365d,bm_return_365d,regime,vix,safe_fraction,exposure,vol_adjust,vix_exposure,aggregated_risk_state
AI & Cloud MegaCap Wave,0.0,0.0,0.0033077205252791675,0.04099613809251079,0.0012999643493152302,0.05120357182600577,,,neutral,,0.15000000000000002,1.1631138982518454,1.2243304192124689,0.95,neutral
Clean Transit-Infrastructure Wave,0.0,0.0,0.006938780734412342,0.05750354325355467,0.03254233924911043,0.06786189438408541,,,neutral,,0.15600000000000003,0.9812599228301241,1.042285753709835,0.95,risk-off
Crypto AI Growth Wave,0.0,0.0,0.11332490354742775,0.1337406463061357,0.07737271021197434,0.0039251212037239025,,,n/a,,0.0,0.7,0.7302490266684394,1.0,neutral
Crypto Broad Growth Wave,0.0,0.0,0.029460760100567862,0.01296731701211562,-0.0035514701982166663,-0.0204170026765208,,,n/a,,0.0,0.735,0.7,1.0,neutral
Crypto DeFi Growth Wave,0.0,0.0,0.011172064627538614,0.013327963616590388,-0.06946740930924811,-0.10917401719394837,,,n/a,,0.0,0.7,0.7,1.0,neutral
Crypto Income Wave,0.0,0.0,-0.0026025624469810937,0.01593037605855918,-0.046985370276028116,-0.048404562897123915,,,n/a,,0.35,0.7046918505866471,0.855208556537193,1.0,neutral
Crypto L1 Growth Wave,0.0,0.0,0.02320403177860042,0.01136754761342651,-0.03249496552020126,-0.05158219688742427,,,n/a,,0.0,0.735,0.7,1.0,neutral
Crypto L2 Growth Wave,0.0,0.0,-0.03358053229587388,-0.03351040413077211,-0.05799115633982144,-0.059645112197843964,,,n/a,,0.0,1.2281193115538276,1.2405245571250783,1.0,neutral
Demas Fund Wave,0.0,0.0,0.013049182977537654,0.01956636785771515,0.019684727949388137,0.030861299153547073,,,neutral,,0.18000000000000002,1.2349999999999999,1.3,0.95,neutral
EV & Infrastructure Wave,0.0,0.0,0.02271600533498641,0.05750354325355467,0.04721283786029162,0.06786189438408541,,,neutral,,0.15000000000000002,1.0954913742278,1.1531488149766318,0.95,neutral
Future Energy & EV Wave,0.0,0.0,0.0779903272973621,0.11780900236002112,0.0771919999302253,0.10659658260537541,,,neutral,,0.15000000000000002,1.211940685182793,1.275727037034519,0.95,neutral
Future Power & Energy Wave,0.0,0.0,0.1377128845642901,0.11780900236002112,0.11306271903946508,0.10659658260537541,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
Gold Wave,0.0,0.0,0.1791880756133124,0.19328095950292745,0.21480336823919965,0.22749755185643128,,,neutral,,0.15000000000000002,1.1041210985179786,1.1622327352820827,0.95,neutral
Income Wave,0.0,0.0,0.0616464421464642,0.04541512007736315,0.06634449971457301,0.051804558500485154,,,n/a,,0.05,1.3,1.3,1.0,neutral
Infinity Multi-Asset Growth Wave,0.0,0.0,0.04873236375369783,0.014365827169744882,0.052589944448600434,0.014714473628569369,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
Next-Gen Compute & Semis Wave,0.0,0.0,0.018604497088457572,0.0691273333467064,0.01899918871300521,0.08855975262550775,,,neutral,,0.15600000000000003,1.223885,1.3,0.95,risk-off
Quantum Computing Wave,0.0,0.0,0.0018643566132692246,0.016091889198619924,0.0061964847764772735,0.022197280822469745,,,neutral,,0.15600000000000003,0.7973915586083176,0.8469823767680893,0.95,risk-off
S&P 500 Wave,0.0,0.0,0.01331627512969269,0.012343314286852314,0.0226110031016844,0.02071307349175644,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
Small Cap Growth Wave,0.0,0.0,0.062181097015510334,0.05991460960434636,0.06381060953036566,0.059803267394924475,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
Small to Mid Cap Growth Wave,0.0,0.0,0.042476309005938795,0.03608008254129458,0.048082481114247955,0.03306359299964767,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
SmartSafe Tax-Free Money Market Wave,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
SmartSafe Treasury Cash Wave,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
US MegaCap Core Wave,0.0,0.0,-0.004426106891886716,0.012343314286852314,0.005761348439452085,0.02071307349175644,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
US Mid/Small Growth & Semis Wave,0.0,0.0,0.05606167622213376,0.03608008254129458,0.06631161538150931,0.03306359299964767,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
US Small-Cap Disruptors Wave,0.0,0.0,0.04790603183998865,0.05991460960434636,0.021023043116867868,0.059803267394924475,,,neutral,,0.15000000000000002,1.2349999999999999,1.3,0.95,neutral
Vector Muni Ladder Wave,0.0,0.0,0.006167124957456194,0.005443890998792833,0.010210260249273961,0.00880333312974857,,,n/a,,0.05,1.3,1.3,1.0,neutral
Vector Treasury Ladder Wave,0.0,0.0,-6.920237425422915e-05,-0.0006696757586701629,-0.004297192381404247,-0.004799258543194851,,,n/a,,0.05,1.3,1.3,1.0,neutral
