wave_id,period,alpha_volatility,alpha_momentum,alpha_residual
AI & Cloud MegaCap Wave,INTRADAY,0.0000675885211194438,0.0001351770422388876,0.0002478245774379602
Clean Transit-Infrastructure Wave,INTRADAY,-0.000028389351905466765,-0.00005677870381093353,-0.00010409428832004556
Crypto AI Growth Wave,INTRADAY,0.0,0.0,0.0
Crypto Broad Growth Wave,INTRADAY,0.00018748252477089888,0.00037496504954179776,0.0004999533993890637
Crypto DeFi Growth Wave,INTRADAY,0.0,0.0,0.0
Crypto Income Wave,INTRADAY,0.0,0.0,0.0
Crypto L1 Growth Wave,INTRADAY,0.0,0.0,0.0
Crypto L2 Growth Wave,INTRADAY,0.0,0.0,0.0
Demas Fund Wave,INTRADAY,-0.0055493490207866865,-0.011098698041573373,-0.02034761307621785
EV & Infrastructure Wave,INTRADAY,-0.0005534465836679714,-0.0011068931673359428,-0.002029304139115895
Future Energy & EV Wave,INTRADAY,-0.0012265283728246978,-0.0024530567456493957,-0.004496269328357224
Future Power & Energy Wave,INTRADAY,0.0006866849941457698,0.0013733699882915395,0.0025178450025348996
Gold Wave,INTRADAY,0.002051101786511467,0.004102203573022934,0.007520706550538247
Income Wave,INTRADAY,-0.0002461573369009207,-0.0004923146738018414,-0.0009025769019699625
Infinity Multi-Asset Growth Wave,INTRADAY,0.0002343445684632961,0.0004686891369265922,0.0008592634176987525
Next-Gen Compute & Semis Wave,INTRADAY,0.0,0.0,0.0
Quantum Computing Wave,INTRADAY,0.0008773891770406771,0.0017547783540813543,0.003217093649149149
Russell 3000 Wave,INTRADAY,-0.00020101677109942705,-0.0004020335421988541,-0.0007370615909312326
S&P 500 Wave,INTRADAY,0.0,0.0,0.0
Small Cap Growth Wave,INTRADAY,-0.0006105900371180782,-0.0012211801113542364,-0.0022388302227084723
Small to Mid Cap Growth Wave,INTRADAY,-0.000632696564543489,-0.001265393129086978,-0.0023198874030211277
SmartSafe Tax-Free Money Market Wave,INTRADAY,-0.0006362788191668245,-0.001272557638333649,-0.002332928217055023
SmartSafe Treasury Cash Wave,INTRADAY,-0.0006897752774936872,-0.0013795505549873744,-0.0025291761274726458
US MegaCap Core Wave,INTRADAY,0.0,0.0,0.0
US Mid/Small Growth & Semis Wave,INTRADAY,0.000045350927166920576,0.00009070185433384115,0.00016628675761229644
US Small-Cap Disruptors Wave,INTRADAY,0.0008444793928230387,0.0016889587856460774,0.003096424440350141
Vector Muni Ladder Wave,INTRADAY,-0.0006169601134979108,-0.0012339202269958215,-0.0022611471963256723
Vector Treasury Ladder Wave,INTRADAY,-0.0008714933801200864,-0.0017429867602401727,-0.003196468933613725
