date,TSLA,CHPT
2024-08-08,148.64,141.37
2024-08-09,152.83,141.95
2024-08-10,150.07,138.69
2024-08-11,147.62,139.23
2024-08-12,147.08,137.13
2024-08-13,145.36,135.52
2024-08-14,145.9,137.05
2024-08-15,145.26,141.26
2024-08-16,145.94,141.44
2024-08-17,148.24,139.78
2024-08-18,145.95,140.24
2024-08-19,148.2,142.29
2024-08-20,146.66,143.68
2024-08-21,151.46,149.67
2024-08-22,155.21,148.14
2024-08-23,155.03,148.77
2024-08-24,152.87,152.3
2024-08-25,150.29,155.77
2024-08-26,152.34,151.3
2024-08-27,152.34,151.36
2024-08-28,154.54,154.81
2024-08-29,159.73,161.6
2024-08-30,157.96,163.39
2024-08-31,155.12,162.57
2024-09-01,155.65,160.19
2024-09-02,158.4,165.6
2024-09-03,156.25,167.49
2024-09-04,156.4,165.44
2024-09-05,159.7,165.02
2024-09-06,155.87,165.87
2024-09-07,156.49,167.31
2024-09-08,155.3,165.13
2024-09-09,155.67,163.7
2024-09-10,157.41,159.72
2024-09-11,158.01,162.29
2024-09-12,155.69,161.54
2024-09-13,154.6,162.75
2024-09-14,157.98,166.3
2024-09-15,158.84,166.94
2024-09-16,160.92,166.74
2024-09-17,161.61,167.3
2024-09-18,163.65,167.55
2024-09-19,162.76,170.76
2024-09-20,160.97,171.64
2024-09-21,162.89,170.33
2024-09-22,165.73,173.09
2024-09-23,163.54,176.37
2024-09-24,162.21,172.92
2024-09-25,161.89,176.98
2024-09-26,165.91,178.04
2024-09-27,167.39,178.88
2024-09-28,164.15,181.67
2024-09-29,164.0,180.22
2024-09-30,163.48,182.89
2024-10-01,160.68,181.95
2024-10-02,160.51,178.01
2024-10-03,159.89,175.44
2024-10-04,159.11,177.02
2024-10-05,158.21,174.6
2024-10-06,161.78,178.9
2024-10-07,160.98,182.18
2024-10-08,161.18,185.92
2024-10-09,161.12,186.36
2024-10-10,159.98,187.17
2024-10-11,160.25,183.91
2024-10-12,160.49,186.75
2024-10-13,160.76,187.91
2024-10-14,158.77,189.6
2024-10-15,158.36,194.5
2024-10-16,160.24,192.83
2024-10-17,159.89,192.56
2024-10-18,160.36,193.6
2024-10-19,160.84,190.98
2024-10-20,161.93,190.54
2024-10-21,163.37,192.04
2024-10-22,163.02,191.2
2024-10-23,160.87,195.05
2024-10-24,158.01,190.73
2024-10-25,160.51,194.03
2024-10-26,162.44,196.06
2024-10-27,164.1,194.48
2024-10-28,166.18,191.88
2024-10-29,165.86,185.99
2024-10-30,164.39,183.86
2024-10-31,162.06,186.84
2024-11-01,159.49,186.78
2024-11-02,162.47,190.13
2024-11-03,161.35,188.46
2024-11-04,163.98,190.55
2024-11-05,163.6,188.6
2024-11-06,162.03,185.96
2024-11-07,159.45,185.75
2024-11-08,158.12,183.99
2024-11-09,161.56,179.83
2024-11-10,159.02,179.43
2024-11-11,164.14,179.8
2024-11-12,162.16,183.31
2024-11-13,164.06,185.98
2024-11-14,163.79,189.48
2024-11-15,163.08,191.62
2024-11-16,160.05,192.67
2024-11-17,159.9,189.22
2024-11-18,157.2,189.74
2024-11-19,153.31,191.53
2024-11-20,153.66,195.81
2024-11-21,152.28,197.93
2024-11-22,156.2,201.71
2024-11-23,158.62,198.69
2024-11-24,162.74,197.81
2024-11-25,161.16,199.18
2024-11-26,161.57,202.75
2024-11-27,155.3,202.41
2024-11-28,154.72,202.26
2024-11-29,155.02,204.45
2024-11-30,155.46,201.1
2024-12-01,155.44,206.05
2024-12-02,155.67,203.43
2024-12-03,149.41,197.68
2024-12-04,150.06,197.81
2024-12-05,151.23,202.95
2024-12-06,154.34,204.83
2024-12-07,155.27,207.25
2024-12-08,155.04,207.48
2024-12-09,157.69,207.11
2024-12-10,152.19,202.41
2024-12-11,151.09,195.65
2024-12-12,149.43,196.33
2024-12-13,149.43,200.29
2024-12-14,144.58,201.42
2024-12-15,147.51,203.41
2024-12-16,147.03,208.34
2024-12-17,147.81,209.47
2024-12-18,148.38,209.19
2024-12-19,151.26,206.73
2024-12-20,147.11,213.1
2024-12-21,147.43,214.89
2024-12-22,150.04,211.96
2024-12-23,149.9,208.34
2024-12-24,147.83,212.36
2024-12-25,146.57,209.16
2024-12-26,145.78,215.08
2024-12-27,144.27,206.3
2024-12-28,144.01,210.8
2024-12-29,147.34,212.45
2024-12-30,146.1,212.93
2024-12-31,145.1,212.48
2025-01-01,146.17,218.61
2025-01-02,145.86,221.04
2025-01-03,143.03,218.16
2025-01-04,142.97,212.64
2025-01-05,142.83,213.31
2025-01-06,144.99,213.41
2025-01-07,142.95,208.66
2025-01-08,145.13,208.59
2025-01-09,144.99,206.9
2025-01-10,142.65,207.03
2025-01-11,139.92,209.39
2025-01-12,144.05,214.18
2025-01-13,143.78,217.21
2025-01-14,145.87,214.96
2025-01-15,142.2,216.26
2025-01-16,147.9,216.57
2025-01-17,149.96,212.35
2025-01-18,149.46,213.73
2025-01-19,148.84,219.79
2025-01-20,150.56,220.0
2025-01-21,152.16,214.85
2025-01-22,152.66,215.06
2025-01-23,152.76,211.25
2025-01-24,154.12,214.09
2025-01-25,150.17,215.89
2025-01-26,149.41,215.44
2025-01-27,145.79,214.48
2025-01-28,147.19,213.9
2025-01-29,145.77,214.04
2025-01-30,142.41,211.66
2025-01-31,140.78,207.36
2025-02-01,141.17,211.01
2025-02-02,140.8,209.89
2025-02-03,138.4,210.53
2025-02-04,134.93,211.53
2025-02-05,135.14,212.66
2025-02-06,134.03,209.02
2025-02-07,133.58,203.87
2025-02-08,133.33,202.17
2025-02-09,134.26,203.47
2025-02-10,136.03,201.35
2025-02-11,136.39,200.38
2025-02-12,135.81,206.88
2025-02-13,135.93,201.25
2025-02-14,135.3,199.07
2025-02-15,132.04,204.84
2025-02-16,134.26,204.8
2025-02-17,136.15,202.74
2025-02-18,140.28,206.39
2025-02-19,145.15,206.67
2025-02-20,142.66,205.69
2025-02-21,142.01,206.39
2025-02-22,147.44,204.45
2025-02-23,147.42,201.43
2025-02-24,148.03,201.19
2025-02-25,144.73,198.24
2025-02-26,145.13,198.37
2025-02-27,149.41,199.53
2025-02-28,152.37,202.18
2025-03-01,151.05,205.7
2025-03-02,150.22,204.55
2025-03-03,147.75,206.19
2025-03-04,145.94,207.81
2025-03-05,141.83,208.94
2025-03-06,141.72,207.54
2025-03-07,145.0,204.44
2025-03-08,145.85,206.09
2025-03-09,148.91,200.91
2025-03-10,151.38,200.2
2025-03-11,150.22,192.64
2025-03-12,148.58,188.87
2025-03-13,147.05,186.48
2025-03-14,143.33,189.64
2025-03-15,143.47,191.69
2025-03-16,137.29,190.2
2025-03-17,138.58,192.37
2025-03-18,138.8,195.03
2025-03-19,139.85,194.66
2025-03-20,142.14,190.71
2025-03-21,142.63,190.21
2025-03-22,146.19,190.03
2025-03-23,147.63,186.61
2025-03-24,146.03,187.73
2025-03-25,145.58,188.61
2025-03-26,140.72,189.97
2025-03-27,138.88,190.86
2025-03-28,138.16,193.04
2025-03-29,139.36,192.62
2025-03-30,137.86,193.3
2025-03-31,135.35,192.24
2025-04-01,131.59,190.65
2025-04-02,130.48,194.57
2025-04-03,134.36,188.71
2025-04-04,134.97,191.28
2025-04-05,136.94,189.6
2025-04-06,135.16,187.56
2025-04-07,132.04,188.39
2025-04-08,129.69,184.27
2025-04-09,129.56,182.11
