date,BRK-B,JPM
2024-08-08,145.63,137.29
2024-08-09,146.64,136.24
2024-08-10,147.1,137.76
2024-08-11,145.81,137.77
2024-08-12,142.34,136.43
2024-08-13,143.76,133.1
2024-08-14,143.25,133.63
2024-08-15,144.52,136.61
2024-08-16,148.63,135.34
2024-08-17,143.93,135.55
2024-08-18,142.5,132.53
2024-08-19,142.12,131.26
2024-08-20,145.29,132.0
2024-08-21,141.8,133.53
2024-08-22,145.99,134.71
2024-08-23,146.36,130.68
2024-08-24,146.22,129.85
2024-08-25,145.86,128.03
2024-08-26,144.98,127.5
2024-08-27,147.33,127.35
2024-08-28,145.04,129.45
2024-08-29,145.87,130.09
2024-08-30,145.1,132.92
2024-08-31,143.51,131.59
2024-09-01,149.15,128.86
2024-09-02,150.16,131.74
2024-09-03,151.62,132.66
2024-09-04,154.28,131.25
2024-09-05,151.07,132.17
2024-09-06,155.12,133.9
2024-09-07,149.36,134.2
2024-09-08,147.71,132.8
2024-09-09,146.77,131.99
2024-09-10,148.12,132.63
2024-09-11,148.68,133.09
2024-09-12,148.38,135.58
2024-09-13,148.43,135.09
2024-09-14,146.33,133.2
2024-09-15,143.11,138.42
2024-09-16,144.74,138.85
2024-09-17,146.32,140.65
2024-09-18,149.87,141.83
2024-09-19,148.17,142.29
2024-09-20,149.79,141.88
2024-09-21,149.22,135.98
2024-09-22,151.96,133.88
2024-09-23,154.37,134.61
2024-09-24,154.93,129.19
2024-09-25,154.22,129.39
2024-09-26,156.52,130.74
2024-09-27,158.12,132.44
2024-09-28,156.58,133.69
2024-09-29,153.54,135.68
2024-09-30,152.95,139.02
2024-10-01,156.5,141.37
2024-10-02,159.27,141.86
2024-10-03,156.69,141.64
2024-10-04,154.03,141.96
2024-10-05,157.05,141.44
2024-10-06,154.45,143.89
2024-10-07,155.71,145.19
2024-10-08,154.35,144.43
2024-10-09,158.17,147.38
2024-10-10,156.42,146.8
2024-10-11,159.18,144.79
2024-10-12,159.7,144.84
2024-10-13,160.39,143.13
2024-10-14,155.73,145.21
2024-10-15,150.66,143.44
2024-10-16,150.24,143.26
2024-10-17,150.87,145.35
2024-10-18,148.4,143.87
2024-10-19,146.05,144.83
2024-10-20,147.35,142.79
2024-10-21,148.67,143.38
2024-10-22,148.43,144.68
2024-10-23,150.25,144.66
2024-10-24,147.67,144.8
2024-10-25,146.96,145.84
2024-10-26,150.67,145.3
2024-10-27,150.9,147.31
2024-10-28,151.26,150.41
2024-10-29,156.56,148.4
2024-10-30,153.36,152.41
2024-10-31,155.27,151.79
2024-11-01,159.22,156.41
2024-11-02,158.52,155.8
2024-11-03,160.65,157.54
2024-11-04,158.36,159.27
2024-11-05,156.81,158.43
2024-11-06,157.79,158.68
2024-11-07,159.76,162.19
2024-11-08,162.53,161.48
2024-11-09,166.43,160.55
2024-11-10,166.35,157.85
2024-11-11,169.41,161.65
2024-11-12,168.63,160.56
2024-11-13,170.99,163.53
2024-11-14,171.61,162.14
2024-11-15,172.84,165.06
2024-11-16,174.03,167.14
2024-11-17,169.92,166.65
2024-11-18,167.14,164.9
2024-11-19,167.49,163.37
2024-11-20,163.33,161.82
2024-11-21,165.45,164.48
2024-11-22,167.69,164.96
2024-11-23,168.6,162.28
2024-11-24,165.85,161.75
2024-11-25,169.37,161.51
2024-11-26,174.63,156.41
2024-11-27,175.1,156.03
2024-11-28,176.53,157.8
2024-11-29,177.15,157.55
2024-11-30,178.65,158.23
2024-12-01,178.42,159.46
2024-12-02,178.41,158.72
2024-12-03,180.93,160.54
2024-12-04,187.38,164.13
2024-12-05,183.54,160.46
2024-12-06,183.35,159.71
2024-12-07,180.19,165.37
2024-12-08,184.59,165.88
2024-12-09,183.05,165.88
2024-12-10,179.18,165.32
2024-12-11,180.98,168.56
2024-12-12,185.81,166.27
2024-12-13,187.75,168.66
2024-12-14,188.42,168.05
2024-12-15,189.67,166.24
2024-12-16,193.79,165.75
2024-12-17,191.35,165.71
2024-12-18,191.12,164.56
2024-12-19,189.92,167.39
2024-12-20,186.69,165.61
2024-12-21,185.86,166.04
2024-12-22,189.04,167.46
2024-12-23,190.75,167.87
2024-12-24,192.68,169.9
2024-12-25,193.2,168.88
2024-12-26,194.82,170.54
2024-12-27,192.58,172.3
2024-12-28,191.78,174.88
2024-12-29,192.43,170.02
2024-12-30,193.32,171.41
2024-12-31,194.35,173.81
2025-01-01,194.04,172.83
2025-01-02,193.04,171.49
2025-01-03,202.28,169.77
2025-01-04,205.13,167.23
2025-01-05,206.51,168.98
2025-01-06,205.89,174.85
2025-01-07,204.6,173.48
2025-01-08,204.3,172.35
2025-01-09,205.3,172.48
2025-01-10,199.61,168.42
2025-01-11,195.01,166.75
2025-01-12,193.25,166.69
2025-01-13,193.94,164.54
2025-01-14,193.34,167.57
2025-01-15,197.73,164.41
2025-01-16,193.43,166.71
2025-01-17,191.35,170.47
2025-01-18,195.8,171.53
2025-01-19,196.29,171.26
2025-01-20,198.99,171.98
2025-01-21,205.21,170.93
2025-01-22,203.18,165.79
2025-01-23,202.98,163.44
2025-01-24,202.25,163.49
2025-01-25,196.42,161.27
2025-01-26,195.61,160.35
2025-01-27,198.29,161.58
2025-01-28,200.0,162.02
2025-01-29,201.95,164.67
2025-01-30,200.92,165.48
2025-01-31,199.04,166.44
2025-02-01,202.93,164.74
2025-02-02,201.52,161.53
2025-02-03,202.51,160.62
2025-02-04,203.1,158.94
2025-02-05,207.66,158.63
2025-02-06,210.79,156.17
2025-02-07,206.8,158.22
2025-02-08,203.22,156.56
2025-02-09,205.08,155.79
2025-02-10,204.99,155.82
2025-02-11,203.69,158.52
2025-02-12,206.9,162.78
2025-02-13,207.58,167.33
2025-02-14,207.85,164.19
2025-02-15,210.38,163.36
2025-02-16,209.3,162.06
2025-02-17,214.33,163.04
2025-02-18,211.91,163.88
2025-02-19,214.1,162.53
2025-02-20,218.81,160.99
2025-02-21,214.4,158.66
2025-02-22,213.41,152.43
2025-02-23,217.17,149.54
2025-02-24,221.05,151.55
2025-02-25,220.59,154.96
2025-02-26,218.27,158.17
2025-02-27,221.51,160.41
2025-02-28,225.55,158.05
2025-03-01,221.72,155.33
2025-03-02,217.83,151.19
2025-03-03,218.67,149.94
2025-03-04,220.85,150.21
2025-03-05,219.97,148.02
2025-03-06,222.32,149.05
2025-03-07,220.06,150.58
2025-03-08,213.19,149.58
2025-03-09,211.94,146.65
2025-03-10,212.25,149.76
2025-03-11,211.48,149.92
2025-03-12,207.91,154.36
2025-03-13,202.35,154.65
2025-03-14,200.89,155.1
2025-03-15,203.7,152.94
2025-03-16,207.64,152.04
2025-03-17,211.44,148.56
2025-03-18,208.96,145.64
2025-03-19,205.45,147.33
2025-03-20,207.08,146.78
2025-03-21,209.15,145.92
2025-03-22,210.51,144.38
2025-03-23,204.26,143.61
2025-03-24,201.71,146.13
2025-03-25,201.72,146.52
2025-03-26,203.29,144.0
2025-03-27,205.73,146.29
2025-03-28,206.28,150.15
2025-03-29,207.41,151.34
2025-03-30,207.78,153.44
2025-03-31,210.02,156.33
2025-04-01,211.11,152.52
2025-04-02,211.42,156.86
2025-04-03,210.68,159.53
2025-04-04,211.04,160.78
2025-04-05,212.68,160.55
2025-04-06,213.64,157.41
2025-04-07,214.96,156.71
2025-04-08,219.4,157.84
2025-04-09,220.38,155.31
2025-04-10,218.35,155.22
2025-04-11,221.35,152.54
2025-04-12,216.93,151.74
2025-04-13,213.52,148.74
2025-04-14,214.7,145.56
2025-04-15,216.47,146.37
2025-04-16,212.53,145.17
2025-04-17,211.42,144.19
2025-04-18,209.6,142.89
2025-04-19,208.18,148.8
2025-04-20,211.23,150.23
2025-04-21,213.57,151.91
2025-04-22,213.62,150.22
2025-04-23,211.98,151.44
2025-04-24,207.79,150.99
2025-04-25,212.32,149.3
2025-04-26,214.31,153.69
2025-04-27,212.15,155.09
2025-04-28,214.54,156.38
2025-04-29,214.43,154.18
2025-04-30,213.61,151.32
2025-05-01,215.11,151.26
2025-05-02,212.83,150.04
2025-05-03,211.83,151.49
2025-05-04,212.33,153.11
2025-05-05,210.84,153.34
2025-05-06,213.06,155.32
2025-05-07,219.14,155.85
2025-05-08,216.77,153.89
2025-05-09,211.47,153.51
2025-05-10,205.22,153.9
2025-05-11,204.86,156.12
2025-05-12,202.93,156.72
2025-05-13,203.66,155.46
2025-05-14,204.17,157.79
2025-05-15,199.36,158.77
2025-05-16,194.03,162.53
2025-05-17,194.99,162.82
2025-05-18,195.49,160.37
2025-05-19,194.33,163.28
2025-05-20,189.6,161.95
2025-05-21,191.04,162.75
2025-05-22,194.78,163.28
2025-05-23,195.69,163.48
2025-05-24,193.3,163.14
2025-05-25,193.52,159.18
2025-05-26,189.65,156.87
2025-05-27,192.76,159.59
2025-05-28,193.09,160.69
2025-05-29,188.07,165.38
2025-05-30,187.31,162.88
2025-05-31,188.71,162.89
2025-06-01,187.86,165.81
2025-06-02,187.18,164.49
2025-06-03,183.83,163.37
2025-06-04,185.49,162.74
2025-06-05,183.77,161.73
2025-06-06,177.92,163.1
2025-06-07,177.02,158.83
2025-06-08,179.71,162.82
2025-06-09,178.76,160.56
2025-06-10,183.51,155.54
2025-06-11,184.78,155.59
2025-06-12,185.81,154.79
2025-06-13,185.55,154.46
2025-06-14,185.45,155.26
2025-06-15,184.81,156.84
2025-06-16,184.07,160.88
2025-06-17,185.62,159.3
2025-06-18,183.11,161.23
2025-06-19,180.25,163.02
2025-06-20,177.3,156.65
2025-06-21,182.83,154.77
2025-06-22,184.38,151.86
2025-06-23,185.31,152.95
2025-06-24,182.46,153.8
2025-06-25,184.26,154.71
2025-06-26,184.03,154.07
2025-06-27,184.71,153.68
2025-06-28,182.1,153.69
2025-06-29,182.63,152.84
2025-06-30,181.56,154.7
2025-07-01,179.56,152.3
2025-07-02,181.63,150.59
2025-07-03,177.53,150.93
2025-07-04,179.13,150.18
2025-07-05,181.05,147.75
2025-07-06,178.76,149.01
2025-07-07,176.65,147.8
2025-07-08,176.14,146.0
2025-07-09,176.98,145.69
2025-07-10,176.66,143.82
2025-07-11,177.9,143.81
2025-07-12,182.69,143.11
2025-07-13,181.39,142.08
2025-07-14,176.81,141.07
2025-07-15,179.09,143.25
2025-07-16,183.7,144.12
2025-07-17,184.88,140.49
2025-07-18,181.95,142.42
2025-07-19,181.71,143.6
2025-07-20,178.75,144.66
2025-07-21,180.56,146.65
2025-07-22,176.99,146.76
2025-07-23,176.28,148.2
2025-07-24,173.72,147.24
2025-07-25,174.13,149.19
2025-07-26,173.26,149.75
2025-07-27,173.81,146.73
2025-07-28,173.96,149.09
2025-07-29,171.47,148.87
2025-07-30,173.17,148.35
2025-07-31,173.13,147.44
2025-08-01,170.65,146.69
2025-08-02,176.47,147.27
2025-08-03,177.82,145.16
2025-08-04,177.5,141.82
2025-08-05,181.35,139.63
2025-08-06,186.45,140.5
2025-08-07,186.14,140.23
2025-08-08,187.2,142.64
2025-08-09,184.52,142.57
2025-08-10,184.21,144.44
2025-08-11,183.75,143.01
2025-08-12,184.35,142.15
2025-08-13,185.36,142.24
2025-08-14,187.01,142.0
2025-08-15,187.77,141.56
2025-08-16,184.46,139.78
2025-08-17,181.95,136.52
2025-08-18,180.55,137.88
2025-08-19,179.88,139.03
2025-08-20,182.8,137.82
2025-08-21,179.71,138.67
2025-08-22,178.83,138.39
2025-08-23,181.48,140.76
2025-08-24,180.75,138.06
2025-08-25,182.09,137.86
2025-08-26,181.8,137.51
2025-08-27,182.59,137.91
2025-08-28,182.06,141.16
2025-08-29,183.97,140.96
2025-08-30,179.8,142.61
2025-08-31,178.91,142.36
2025-09-01,179.79,144.72
2025-09-02,181.32,146.43
2025-09-03,185.47,145.77
2025-09-04,184.48,144.95
2025-09-05,188.67,146.09
2025-09-06,186.9,144.72
2025-09-07,190.71,145.21
2025-09-08,193.15,144.51
2025-09-09,190.6,145.38
2025-09-10,191.57,145.1
2025-09-11,191.52,143.66
2025-09-12,193.41,146.12
2025-09-13,192.86,146.71
2025-09-14,192.07,146.67
2025-09-15,196.11,147.67
2025-09-16,195.92,144.04
2025-09-17,198.44,148.63
2025-09-18,197.87,148.76
2025-09-19,202.92,144.45
2025-09-20,200.95,147.12
2025-09-21,199.2,145.53
2025-09-22,203.86,147.88
2025-09-23,202.6,148.23
2025-09-24,207.57,144.81
2025-09-25,210.45,145.45
2025-09-26,210.06,145.93
2025-09-27,204.46,148.53
2025-09-28,204.5,149.76
2025-09-29,204.91,147.05
2025-09-30,208.6,149.34
2025-10-01,213.68,148.49
2025-10-02,211.59,152.39
2025-10-03,214.24,151.66
2025-10-04,216.8,151.25
2025-10-05,220.4,149.46
2025-10-06,222.16,148.42
2025-10-07,215.8,146.79
2025-10-08,215.4,149.46
2025-10-09,211.78,146.55
2025-10-10,211.24,148.39
2025-10-11,214.45,150.31
2025-10-12,215.54,153.49
2025-10-13,219.36,153.67
2025-10-14,220.59,151.38
2025-10-15,216.41,151.06
2025-10-16,208.33,152.49
2025-10-17,208.9,152.76
