date,TSLA
2024-08-08,148.64
2024-08-09,152.83
2024-08-10,150.07
2024-08-11,147.62
2024-08-12,147.08
2024-08-13,145.36
2024-08-14,145.9
2024-08-15,145.26
2024-08-16,145.94
2024-08-17,148.24
2024-08-18,145.95
2024-08-19,148.2
2024-08-20,146.66
2024-08-21,151.46
2024-08-22,155.21
2024-08-23,155.03
2024-08-24,152.87
2024-08-25,150.29
2024-08-26,152.34
2024-08-27,152.34
2024-08-28,154.54
2024-08-29,159.73
2024-08-30,157.96
2024-08-31,155.12
2024-09-01,155.65
2024-09-02,158.4
2024-09-03,156.25
2024-09-04,156.4
2024-09-05,159.7
2024-09-06,155.87
2024-09-07,156.49
2024-09-08,155.3
2024-09-09,155.67
2024-09-10,157.41
2024-09-11,158.01
2024-09-12,155.69
2024-09-13,154.6
2024-09-14,157.98
2024-09-15,158.84
2024-09-16,160.92
2024-09-17,161.61
2024-09-18,163.65
2024-09-19,162.76
2024-09-20,160.97
2024-09-21,162.89
2024-09-22,165.73
2024-09-23,163.54
2024-09-24,162.21
2024-09-25,161.89
2024-09-26,165.91
2024-09-27,167.39
2024-09-28,164.15
2024-09-29,164.0
2024-09-30,163.48
2024-10-01,160.68
2024-10-02,160.51
2024-10-03,159.89
2024-10-04,159.11
2024-10-05,158.21
2024-10-06,161.78
2024-10-07,160.98
2024-10-08,161.18
2024-10-09,161.12
2024-10-10,159.98
2024-10-11,160.25
2024-10-12,160.49
2024-10-13,160.76
2024-10-14,158.77
2024-10-15,158.36
2024-10-16,160.24
2024-10-17,159.89
2024-10-18,160.36
2024-10-19,160.84
2024-10-20,161.93
2024-10-21,163.37
2024-10-22,163.02
2024-10-23,160.87
2024-10-24,158.01
2024-10-25,160.51
2024-10-26,162.44
2024-10-27,164.1
2024-10-28,166.18
2024-10-29,165.86
2024-10-30,164.39
2024-10-31,162.06
2024-11-01,159.49
2024-11-02,162.47
2024-11-03,161.35
2024-11-04,163.98
2024-11-05,163.6
2024-11-06,162.03
2024-11-07,159.45
2024-11-08,158.12
2024-11-09,161.56
2024-11-10,159.02
