date,XLE,ICLN,ENPH,NEE,FSLR,TSLA,PLUG
2024-08-08,121.24,176.27,192.84,140.64,130.14,148.64,157.27
2024-08-09,123.3,176.44,190.53,138.98,133.16,152.83,159.31
2024-08-10,123.41,174.83,191.76,136.85,137.63,150.07,158.59
2024-08-11,123.0,178.81,190.49,135.44,137.96,147.62,159.47
2024-08-12,124.88,176.93,190.97,140.56,140.09,147.08,157.35
2024-08-13,128.18,173.31,185.63,140.92,140.25,145.36,155.11
2024-08-14,129.18,167.8,184.24,141.75,138.14,145.9,152.62
2024-08-15,132.36,167.8,184.03,139.23,141.27,145.26,154.23
2024-08-16,129.34,166.47,186.8,135.45,140.02,145.94,152.86
2024-08-17,130.7,162.99,184.31,133.85,143.32,148.24,153.55
2024-08-18,130.5,165.98,180.29,136.8,146.18,145.95,153.7
2024-08-19,129.02,167.72,181.58,137.56,147.6,148.2,151.05
2024-08-20,125.36,167.73,181.5,138.86,151.72,146.66,151.3
2024-08-21,126.57,171.25,176.9,140.47,156.88,151.46,151.92
2024-08-22,128.29,173.04,172.55,139.29,156.55,155.21,154.41
2024-08-23,130.94,170.99,170.97,142.26,154.73,155.03,157.95
2024-08-24,133.32,168.41,170.84,140.98,150.48,152.87,155.61
2024-08-25,131.84,170.56,174.48,144.03,155.62,150.29,156.52
2024-08-26,134.46,171.66,171.74,145.06,154.67,152.34,151.39
2024-08-27,137.34,172.18,173.21,141.24,157.38,152.34,153.4
2024-08-28,136.88,170.08,168.21,139.72,155.71,154.54,156.0
2024-08-29,137.0,171.72,169.2,136.05,159.38,159.73,149.83
2024-08-30,135.15,169.86,173.11,138.49,157.79,157.96,149.14
2024-08-31,138.22,169.68,173.56,138.51,155.04,155.12,147.21
2024-09-01,135.16,173.45,171.91,133.95,154.64,155.65,146.53
2024-09-02,136.31,171.82,175.18,134.77,153.48,158.4,145.42
2024-09-03,135.16,167.85,176.18,133.75,154.93,156.25,145.39
2024-09-04,132.98,165.28,176.67,130.84,154.89,156.4,147.62
2024-09-05,129.3,167.83,174.06,134.2,156.42,159.7,147.0
2024-09-06,128.95,168.56,175.1,134.49,155.82,155.87,144.89
2024-09-07,126.57,168.31,173.39,133.96,154.34,156.49,144.54
2024-09-08,126.74,167.11,174.29,133.22,153.07,155.3,144.06
2024-09-09,130.17,168.41,174.5,130.27,157.84,155.67,143.95
2024-09-10,130.62,166.35,177.43,127.78,158.45,157.41,142.66
2024-09-11,134.6,167.2,175.98,130.31,153.82,158.01,143.51
2024-09-12,132.68,165.45,175.68,129.45,152.69,155.69,146.36
2024-09-13,130.2,163.3,177.87,129.56,152.99,154.6,143.65
2024-09-14,128.26,161.82,177.33,125.65,157.3,157.98,144.69
2024-09-15,128.2,160.99,177.36,123.23,159.81,158.84,146.85
2024-09-16,133.5,160.95,176.36,124.42,157.68,160.92,145.97
2024-09-17,130.24,161.6,176.02,125.18,163.48,161.61,148.78
2024-09-18,131.51,152.74,177.88,128.54,163.48,163.65,148.72
2024-09-19,130.2,150.97,182.87,131.19,166.62,162.76,146.28
2024-09-20,129.83,150.16,178.35,130.8,163.82,160.97,143.57
2024-09-21,127.44,153.62,175.06,131.8,158.01,162.89,145.33
2024-09-22,129.19,151.21,174.78,131.24,154.75,165.73,146.91
2024-09-23,129.17,151.66,174.99,135.35,147.28,163.54,150.43
2024-09-24,131.34,155.13,174.51,137.75,152.02,162.21,152.02
2024-09-25,131.75,152.16,173.15,138.17,152.59,161.89,151.87
2024-09-26,128.0,153.13,170.03,138.65,150.55,165.91,153.05
2024-09-27,130.17,151.36,168.56,141.73,151.64,167.39,153.29
2024-09-28,126.3,150.29,170.71,143.03,152.15,164.15,152.6
2024-09-29,122.82,148.56,171.04,146.44,153.64,164.0,151.42
2024-09-30,121.19,147.0,172.85,141.7,156.51,163.48,147.58
2024-10-01,119.61,153.08,169.82,142.75,155.9,160.68,146.01
2024-10-02,122.18,155.09,173.58,141.72,153.92,160.51,146.04
2024-10-03,121.92,157.73,172.21,145.52,155.91,159.89,140.19
2024-10-04,124.26,158.98,173.52,148.97,157.87,159.11,139.17
2024-10-05,123.27,155.23,173.28,149.12,158.18,158.21,141.16
2024-10-06,123.92,156.22,171.97,152.63,163.43,161.78,144.08
2024-10-07,124.86,158.82,173.17,156.79,162.44,160.98,143.01
2024-10-08,126.23,156.86,174.81,157.04,160.33,161.18,141.87
2024-10-09,125.41,159.21,181.95,162.94,161.41,161.12,140.41
2024-10-10,124.76,160.97,183.79,162.95,159.86,159.98,139.3
2024-10-11,124.27,165.53,185.6,162.5,161.13,160.25,141.76
2024-10-12,121.25,164.57,188.88,164.69,159.2,160.49,145.3
2024-10-13,121.16,161.94,190.48,163.9,158.32,160.76,141.69
2024-10-14,120.52,161.15,190.46,164.19,162.89,158.77,140.04
2024-10-15,121.63,164.7,191.49,167.75,161.98,158.36,136.19
2024-10-16,121.86,160.26,194.04,167.88,160.12,160.24,136.2
2024-10-17,124.36,155.37,198.19,163.7,163.01,159.89,135.27
2024-10-18,124.55,155.66,193.79,164.68,160.52,160.36,136.07
2024-10-19,123.56,154.7,188.4,163.04,158.93,160.84,137.49
2024-10-20,123.73,154.8,192.3,165.24,160.39,161.93,138.7
2024-10-21,125.14,157.07,190.1,167.05,162.73,163.37,135.34
2024-10-22,121.87,155.85,185.46,170.82,165.79,163.02,135.36
2024-10-23,120.63,151.54,180.68,173.23,164.01,160.87,131.98
2024-10-24,119.43,156.27,185.66,176.15,165.56,158.01,135.49
2024-10-25,120.23,154.01,188.19,174.47,164.48,160.51,134.83
2024-10-26,121.24,151.64,186.04,176.66,163.07,162.44,132.14
2024-10-27,121.48,154.23,184.03,181.96,166.1,164.1,131.12
2024-10-28,117.03,153.41,184.28,180.18,164.81,166.18,131.6
2024-10-29,114.18,153.34,186.74,185.13,165.58,165.86,133.11
2024-10-30,113.83,154.53,186.01,183.7,166.05,164.39,135.77
2024-10-31,113.03,157.12,183.91,181.44,163.47,162.06,135.97
2024-11-01,113.1,156.41,187.14,182.34,165.92,159.49,135.36
2024-11-02,112.36,160.06,187.16,184.39,167.39,162.47,136.82
2024-11-03,115.0,155.01,186.71,187.0,162.49,161.35,138.23
2024-11-04,111.1,156.85,188.47,184.4,163.25,163.98,138.55
2024-11-05,111.66,154.96,182.52,185.69,161.44,163.6,140.3
2024-11-06,113.1,158.22,183.91,183.87,164.17,162.03,139.09
2024-11-07,114.35,158.64,185.14,179.86,160.7,159.45,139.11
2024-11-08,115.75,157.12,181.4,177.44,159.92,158.12,134.93
2024-11-09,117.43,158.76,176.21,175.53,160.87,161.56,137.82
2024-11-10,116.42,160.97,174.8,177.0,161.08,159.02,136.87
2024-11-11,114.56,162.6,175.37,180.14,163.0,164.14,139.8
2024-11-12,111.12,160.17,176.21,176.25,159.37,162.16,138.5
2024-11-13,110.57,159.08,180.8,177.27,163.4,164.06,139.19
2024-11-14,109.34,159.15,181.39,174.23,164.77,163.79,139.38
2024-11-15,111.3,159.13,177.67,175.96,168.21,163.08,138.19
2024-11-16,110.87,161.0,177.09,174.41,170.5,160.05,139.25
2024-11-17,109.21,156.22,173.73,171.74,170.56,159.9,141.99
2024-11-18,107.32,157.08,173.35,173.89,167.36,157.2,145.87
2024-11-19,110.58,156.47,177.1,172.45,166.03,153.31,147.57
2024-11-20,110.59,154.58,178.41,171.71,170.07,153.66,144.96
2024-11-21,109.35,152.94,176.57,166.08,173.69,152.28,141.98
2024-11-22,109.61,152.52,178.23,168.52,172.16,156.2,144.48
2024-11-23,112.79,144.36,176.24,170.68,164.97,158.62,142.39
2024-11-24,112.18,142.92,169.02,170.78,164.52,162.74,143.77
2024-11-25,113.39,141.11,165.98,166.95,163.9,161.16,144.13
2024-11-26,115.47,142.31,167.2,170.07,163.36,161.57,147.06
