date,SPY,QQQ,ICLN,BTC-USD
2024-08-08,158.21,171.0,176.27,169.23
2024-08-09,156.2,176.35,176.44,170.76
2024-08-10,158.02,175.5,174.83,171.08
2024-08-11,156.59,175.88,178.81,166.75
2024-08-12,157.17,179.38,176.93,168.99
2024-08-13,156.54,181.0,173.31,168.05
2024-08-14,156.1,175.0,167.8,171.72
2024-08-15,157.97,175.11,167.8,171.48
2024-08-16,155.59,177.46,166.47,175.27
2024-08-17,160.21,173.97,162.99,176.47
2024-08-18,155.91,176.02,165.98,179.14
2024-08-19,154.59,177.14,167.72,177.91
2024-08-20,155.53,180.37,167.73,178.94
2024-08-21,156.97,178.59,171.25,174.4
2024-08-22,156.81,181.34,173.04,174.15
2024-08-23,156.75,181.87,170.99,170.36
2024-08-24,157.8,186.78,168.41,167.52
2024-08-25,157.33,194.68,170.56,165.37
2024-08-26,160.69,199.27,171.66,167.09
2024-08-27,162.8,200.8,172.18,166.8
2024-08-28,165.01,207.89,170.08,166.97
2024-08-29,162.7,209.88,171.72,166.61
2024-08-30,162.59,207.13,169.86,169.4
2024-08-31,161.94,207.11,169.68,169.49
2024-09-01,159.58,209.58,173.45,170.21
2024-09-02,160.52,212.28,171.82,168.84
2024-09-03,159.3,208.8,167.85,171.83
2024-09-04,160.95,205.48,165.28,175.08
2024-09-05,158.45,204.53,167.83,175.07
2024-09-06,162.61,206.27,168.56,173.62
2024-09-07,160.51,208.43,168.31,169.5
2024-09-08,161.11,208.97,167.11,167.37
2024-09-09,163.11,206.46,168.41,162.02
2024-09-10,161.79,211.94,166.35,159.89
2024-09-11,163.94,208.64,167.2,160.82
2024-09-12,161.0,212.82,165.45,160.78
2024-09-13,164.59,215.29,163.3,166.46
2024-09-14,164.71,219.53,161.82,165.62
2024-09-15,163.32,218.18,160.99,164.59
2024-09-16,162.67,217.82,160.95,167.29
2024-09-17,164.72,218.11,161.6,162.54
2024-09-18,163.36,216.66,152.74,159.01
2024-09-19,161.6,217.5,150.97,160.67
2024-09-20,161.15,222.76,150.16,160.28
2024-09-21,158.38,218.54,153.62,159.95
2024-09-22,162.79,216.49,151.21,157.78
2024-09-23,161.49,214.11,151.66,158.43
2024-09-24,163.58,213.92,155.13,156.58
2024-09-25,164.18,213.59,152.16,156.83
2024-09-26,161.83,216.17,153.13,154.19
2024-09-27,161.9,216.39,151.36,153.84
2024-09-28,163.89,217.48,150.29,158.59
2024-09-29,163.51,218.89,148.56,157.66
2024-09-30,166.51,219.8,147.0,157.43
2024-10-01,169.15,222.23,153.08,157.03
2024-10-02,171.56,221.93,155.09,157.52
2024-10-03,170.47,227.53,157.73,158.7
2024-10-04,167.79,236.31,158.98,159.39
2024-10-05,166.33,238.94,155.23,160.14
2024-10-06,166.9,239.87,156.22,159.79
2024-10-07,168.35,242.24,158.82,160.11
2024-10-08,162.95,238.36,156.86,159.67
2024-10-09,163.01,239.12,159.21,155.41
2024-10-10,163.48,236.62,160.97,161.62
2024-10-11,162.88,238.55,165.53,163.47
2024-10-12,166.12,236.07,164.57,161.15
