ticker,weight,description,exposure,cash,safe_fraction
IBM,0.119,International Business Machines Corp.,0.119,0.0,0.0
MSFT,0.0952,Microsoft Corp.,0.0952,0.0,0.0
GOOGL,0.0952,Alphabet Inc. (Class A),0.0952,0.0,0.0
NVDA,0.119,NVIDIA Corp.,0.119,0.0,0.0
AMZN,0.0952,Amazon.com Inc.,0.0952,0.0,0.0
QCOM,0.0952,Qualcomm Inc.,0.0952,0.0,0.0
INTC,0.0952,Intel Corp.,0.0952,0.0,0.0
TSM,0.119,Taiwan Semiconductor Manufacturing,0.119,0.0,0.0
ADBE,0.0833,Adobe Inc.,0.0833,0.0,0.0
SNOW,0.0837,Snowflake Inc.,0.0837,0.0,0.0
