date,IBM,MSFT,GOOGL,NVDA,AMZN,SNOW
2024-08-08,185.91,114.22,172.0,150.12,180.36,132.27
2024-08-09,193.81,113.44,173.84,148.28,180.44,130.15
2024-08-10,192.49,112.49,172.42,148.74,180.07,127.73
2024-08-11,186.19,111.09,175.32,155.48,178.93,127.8
2024-08-12,183.93,111.22,175.71,156.41,180.89,129.99
2024-08-13,180.52,109.89,178.3,155.75,183.57,131.59
2024-08-14,182.85,110.39,177.86,157.99,183.91,131.44
2024-08-15,183.83,110.37,181.47,159.21,188.08,134.04
2024-08-16,185.02,110.03,182.65,160.29,184.95,137.59
2024-08-17,184.08,108.58,188.72,161.83,184.51,138.68
2024-08-18,183.4,107.7,187.77,166.9,182.61,137.98
2024-08-19,182.47,108.97,188.44,164.16,177.59,141.29
2024-08-20,182.34,109.85,185.62,165.4,177.46,144.58
2024-08-21,184.72,108.29,184.24,163.19,177.23,145.2
2024-08-22,185.74,108.51,186.04,164.63,181.34,147.93
2024-08-23,187.23,109.78,189.28,162.44,183.14,146.27
2024-08-24,188.73,107.09,197.8,161.51,180.42,141.81
2024-08-25,191.32,108.01,197.61,160.87,185.53,139.82
2024-08-26,192.25,107.0,194.94,163.31,189.02,140.32
2024-08-27,193.38,107.96,197.24,165.64,190.77,140.23
2024-08-28,196.92,106.78,194.0,162.63,190.21,142.33
2024-08-29,195.06,103.94,195.74,162.84,187.57,139.23
2024-08-30,192.65,101.46,194.36,161.19,186.62,136.23
2024-08-31,189.32,101.58,195.08,158.23,189.76,137.86
2024-09-01,189.93,102.03,198.37,157.79,195.22,134.96
2024-09-02,184.75,100.7,198.14,157.14,199.83,134.48
2024-09-03,186.12,101.71,201.01,162.94,198.47,134.6
2024-09-04,185.91,99.23,203.74,164.08,195.23,133.35
2024-09-05,189.17,99.18,198.15,160.77,195.74,134.57
2024-09-06,187.35,97.43,195.57,159.49,190.65,130.48
2024-09-07,186.88,96.52,191.08,162.01,191.67,134.13
2024-09-08,190.12,96.64,196.92,167.17,191.34,133.53
2024-09-09,194.15,95.44,196.7,163.28,190.1,133.26
2024-09-10,192.27,94.94,202.06,158.75,185.65,138.71
2024-09-11,192.89,96.42,197.21,163.29,187.17,135.95
2024-09-12,193.84,95.63,195.61,164.32,185.77,133.88
2024-09-13,195.02,96.88,198.06,162.27,182.6,136.77
2024-09-14,194.35,95.29,198.69,163.65,174.83,133.65
2024-09-15,198.18,96.09,200.38,157.26,174.84,134.71
2024-09-16,192.67,98.22,196.71,157.35,179.58,133.55
2024-09-17,191.55,94.62,200.87,158.2,184.14,130.38
2024-09-18,192.93,93.54,203.31,160.47,182.97,131.47
2024-09-19,194.35,94.4,204.64,158.11,181.41,132.64
2024-09-20,198.39,94.16,202.64,158.39,182.77,132.71
2024-09-21,202.05,94.73,203.72,156.27,180.13,136.89
2024-09-22,201.29,93.92,202.93,156.95,181.03,135.38
2024-09-23,205.31,94.09,198.01,154.92,183.21,137.2
2024-09-24,203.22,93.91,197.96,154.05,186.67,137.95
2024-09-25,206.16,95.61,197.59,151.83,186.48,140.02
2024-09-26,211.86,96.02,200.84,153.39,186.01,139.04
2024-09-27,215.83,96.55,194.21,155.44,183.65,136.22
2024-09-28,216.28,96.0,194.99,154.97,181.46,134.89
2024-09-29,215.31,95.35,191.71,155.13,180.94,134.83
2024-09-30,210.48,94.78,192.72,151.84,182.02,136.27
2024-10-01,211.56,95.39,193.9,151.23,184.61,136.38
2024-10-02,208.13,94.83,193.75,151.2,182.48,136.89
2024-10-03,205.76,95.29,196.19,157.22,186.65,140.5
2024-10-04,202.19,98.31,192.62,154.67,185.99,140.52
2024-10-05,200.89,99.64,195.92,158.15,186.02,139.47
2024-10-06,200.91,99.2,193.94,160.59,184.03,140.46
2024-10-07,201.83,101.04,189.51,161.35,177.43,136.91
2024-10-08,200.12,100.47,188.83,165.68,179.87,133.45
2024-10-09,203.43,97.45,182.99,166.69,181.95,133.25
2024-10-10,202.89,96.03,183.78,167.75,181.27,131.45
2024-10-11,200.6,93.38,183.15,167.7,181.55,130.32
2024-10-12,201.38,92.93,186.63,170.86,183.04,132.21
2024-10-13,207.41,93.01,188.54,173.75,178.84,133.32
2024-10-14,208.56,95.39,184.7,172.21,177.51,133.23
2024-10-15,207.53,95.91,182.47,168.89,179.72,133.47
2024-10-16,202.87,95.64,183.99,168.46,176.43,132.68
2024-10-17,202.31,96.88,186.42,166.52,177.29,134.44
2024-10-18,203.12,93.71,189.93,166.45,173.77,136.1
2024-10-19,202.04,94.09,193.48,169.62,175.07,138.2
2024-10-20,197.1,95.22,193.32,168.54,175.07,140.22
2024-10-21,194.68,93.16,194.47,168.52,170.91,140.41
2024-10-22,199.03,94.81,198.35,168.75,173.99,139.01
2024-10-23,203.41,95.33,197.55,170.98,172.16,138.73
2024-10-24,200.8,94.79,198.78,165.3,170.15,139.04
2024-10-25,202.93,95.73,197.9,163.88,170.75,137.7
2024-10-26,199.44,99.04,196.36,164.48,173.77,141.14
2024-10-27,203.74,99.36,196.6,167.52,171.21,144.67
2024-10-28,204.6,99.78,194.68,166.37,171.46,144.48
2024-10-29,207.61,99.15,194.39,161.77,172.65,146.79
2024-10-30,202.37,97.93,191.47,163.36,174.53,148.1
2024-10-31,204.53,99.2,191.02,161.88,175.08,147.07
2024-11-01,204.61,97.98,192.4,159.07,174.2,148.05
2024-11-02,207.33,98.13,190.8,157.66,172.12,146.4
2024-11-03,210.28,97.48,190.92,157.31,172.43,144.54
2024-11-04,210.59,98.22,191.41,155.96,169.75,145.65
2024-11-05,208.8,98.77,192.81,150.88,162.39,146.79
2024-11-06,211.34,100.35,192.52,152.98,163.54,152.8
2024-11-07,211.26,99.63,195.75,155.98,165.84,152.52
2024-11-08,208.6,99.28,189.68,157.59,160.04,151.38
2024-11-09,205.82,97.87,198.13,154.98,157.7,153.55
2024-11-10,201.37,97.27,195.64,154.59,159.24,153.57
2024-11-11,199.93,97.87,196.92,154.65,164.23,152.16
2024-11-12,203.33,99.03,194.25,156.11,164.37,150.9
2024-11-13,203.98,97.71,196.23,157.76,162.66,150.57
2024-11-14,202.46,99.03,197.14,156.1,162.29,153.02
2024-11-15,205.0,101.1,195.31,156.37,165.72,154.09
2024-11-16,202.55,101.77,198.55,157.52,164.2,152.24
2024-11-17,202.94,104.69,198.16,161.04,162.31,156.51
2024-11-18,202.49,103.53,199.89,162.82,161.22,154.45
2024-11-19,204.96,101.64,197.24,164.83,158.99,152.82
2024-11-20,200.21,98.98,197.25,165.12,159.36,155.58
2024-11-21,197.76,101.25,203.27,168.69,163.33,159.15
2024-11-22,193.0,102.3,206.31,169.82,164.2,160.07
2024-11-23,192.34,102.26,207.37,167.71,163.66,157.05
2024-11-24,195.93,102.75,206.07,171.32,163.03,157.36
2024-11-25,194.55,101.06,206.39,173.2,159.28,154.21
2024-11-26,193.15,104.82,207.1,172.14,161.47,160.04
2024-11-27,195.78,105.08,208.6,170.98,161.37,160.81
2024-11-28,199.01,105.3,205.33,171.83,161.01,162.82
2024-11-29,198.85,106.5,207.5,173.11,168.8,162.0
2024-11-30,200.99,107.32,204.21,173.71,169.64,166.46
2024-12-01,197.84,107.74,209.31,174.61,167.81,165.29
2024-12-02,202.03,106.51,206.99,179.15,166.83,163.25
2024-12-03,208.64,107.32,208.01,182.12,169.78,164.07
2024-12-04,210.38,110.4,211.25,182.73,170.16,166.32
2024-12-05,203.91,112.68,210.56,185.4,166.57,171.72
2024-12-06,202.3,115.43,211.74,182.62,168.95,175.96
2024-12-07,204.26,114.61,216.4,183.8,167.34,179.2
2024-12-08,203.07,112.96,218.34,188.88,172.13,177.45
2024-12-09,207.05,112.81,219.62,188.36,175.0,175.66
2024-12-10,208.98,112.96,214.18,186.06,173.92,173.43
2024-12-11,206.87,114.87,211.29,184.33,177.34,173.13
2024-12-12,207.07,112.01,214.71,181.41,177.61,168.25
2024-12-13,204.4,114.63,216.65,179.36,179.97,171.78
2024-12-14,203.94,114.42,219.11,178.46,181.37,169.22
2024-12-15,202.35,113.74,221.3,174.78,179.16,166.39
2024-12-16,206.02,112.07,225.69,174.91,177.52,165.46
2024-12-17,212.66,109.35,224.92,177.37,180.35,162.21
2024-12-18,208.2,110.75,225.44,175.04,179.54,163.86
2024-12-19,202.3,110.93,222.08,179.12,178.54,161.57
2024-12-20,201.65,108.84,217.93,180.58,176.07,162.87
2024-12-21,197.16,106.78,212.67,183.46,177.28,165.21
