date,IONQ,RGTI,IBM,GOOGL,MSFT,NVDA,AMD
2024-08-08,175.72,161.54,185.91,172.0,114.22,150.12,182.65
2024-08-09,174.92,160.02,193.81,173.84,113.44,148.28,179.17
2024-08-10,177.23,158.13,192.49,172.42,112.49,148.74,180.57
2024-08-11,177.49,154.88,186.19,175.32,111.09,155.48,181.91
2024-08-12,177.0,158.49,183.93,175.71,111.22,156.41,179.84
2024-08-13,178.02,158.03,180.52,178.3,109.89,155.75,173.89
2024-08-14,178.11,149.99,182.85,177.86,110.39,157.99,175.05
2024-08-15,175.24,150.96,183.83,181.47,110.37,159.21,174.65
2024-08-16,177.13,151.88,185.02,182.65,110.03,160.29,175.62
2024-08-17,175.56,147.7,184.08,188.72,108.58,161.83,180.86
2024-08-18,174.75,145.93,183.4,187.77,107.7,166.9,180.88
2024-08-19,170.87,144.09,182.47,188.44,108.97,164.16,179.57
2024-08-20,173.06,142.56,182.34,185.62,109.85,165.4,176.57
2024-08-21,173.47,145.22,184.72,184.24,108.29,163.19,175.83
2024-08-22,174.3,144.97,185.74,186.04,108.51,164.63,176.35
2024-08-23,176.51,144.11,187.23,189.28,109.78,162.44,176.58
2024-08-24,178.78,146.61,188.73,197.8,107.09,161.51,181.23
2024-08-25,176.98,147.77,191.32,197.61,108.01,160.87,182.68
2024-08-26,177.1,143.99,192.25,194.94,107.0,163.31,182.4
2024-08-27,176.96,142.73,193.38,197.24,107.96,165.64,180.56
2024-08-28,176.57,143.49,196.92,194.0,106.78,162.63,181.37
2024-08-29,174.53,141.55,195.06,195.74,103.94,162.84,178.99
2024-08-30,178.35,145.93,192.65,194.36,101.46,161.19,179.56
2024-08-31,181.15,146.25,189.32,195.08,101.58,158.23,180.97
2024-09-01,182.44,144.67,189.93,198.37,102.03,157.79,180.47
2024-09-02,186.25,142.31,184.75,198.14,100.7,157.14,178.85
2024-09-03,187.67,144.36,186.12,201.01,101.71,162.94,173.08
2024-09-04,186.91,143.03,185.91,203.74,99.23,164.08,176.14
2024-09-05,185.82,143.91,189.17,198.15,99.18,160.77,177.29
2024-09-06,186.99,141.5,187.35,195.57,97.43,159.49,178.52
2024-09-07,183.21,141.72,186.88,191.08,96.52,162.01,174.42
2024-09-08,185.69,140.44,190.12,196.92,96.64,167.17,178.12
2024-09-09,181.25,139.85,194.15,196.7,95.44,163.28,176.97
2024-09-10,184.33,138.25,192.27,202.06,94.94,158.75,176.29
2024-09-11,185.8,140.44,192.89,197.21,96.42,163.29,173.55
2024-09-12,191.33,139.48,193.84,195.61,95.63,164.32,168.98
2024-09-13,191.94,139.25,195.02,198.06,96.88,162.27,172.0
2024-09-14,193.92,139.12,194.35,198.69,95.29,163.65,175.41
2024-09-15,196.05,142.55,198.18,200.38,96.09,157.26,175.06
2024-09-16,193.54,144.53,192.67,196.71,98.22,157.35,173.36
2024-09-17,190.54,146.31,191.55,200.87,94.62,158.2,172.47
2024-09-18,187.97,142.92,192.93,203.31,93.54,160.47,171.65
2024-09-19,187.97,141.59,194.35,204.64,94.4,158.11,168.65
2024-09-20,188.04,144.18,198.39,202.64,94.16,158.39,167.99
2024-09-21,188.23,141.72,202.05,203.72,94.73,156.27,168.46
2024-09-22,189.72,141.97,201.29,202.93,93.92,156.95,171.12
2024-09-23,187.7,139.77,205.31,198.01,94.09,154.92,171.24
2024-09-24,190.16,137.82,203.22,197.96,93.91,154.05,167.28
2024-09-25,191.48,141.36,206.16,197.59,95.61,151.83,168.25
2024-09-26,196.12,142.96,211.86,200.84,96.02,153.39,167.69
2024-09-27,197.48,145.14,215.83,194.21,96.55,155.44,171.22
2024-09-28,197.38,146.92,216.28,194.99,96.0,154.97,174.98
2024-09-29,203.83,146.69,215.31,191.71,95.35,155.13,178.91
2024-09-30,203.68,145.24,210.48,192.72,94.78,151.84,177.49
2024-10-01,204.67,144.43,211.56,193.9,95.39,151.23,182.88
2024-10-02,206.1,144.09,208.13,193.75,94.83,151.2,183.93
2024-10-03,209.08,148.0,205.76,196.19,95.29,157.22,188.51
2024-10-04,209.46,145.11,202.19,192.62,98.31,154.67,187.18
2024-10-05,218.25,143.98,200.89,195.92,99.64,158.15,186.44
2024-10-06,216.49,142.08,200.91,193.94,99.2,160.59,187.3
2024-10-07,221.43,144.4,201.83,189.51,101.04,161.35,187.82
2024-10-08,216.68,148.49,200.12,188.83,100.47,165.68,191.45
2024-10-09,213.59,149.25,203.43,182.99,97.45,166.69,190.87
2024-10-10,208.71,150.2,202.89,183.78,96.03,167.75,194.3
2024-10-11,205.92,150.48,200.6,183.15,93.38,167.7,196.54
2024-10-12,200.97,151.54,201.38,186.63,92.93,170.86,196.01
2024-10-13,201.4,153.38,207.41,188.54,93.01,173.75,198.03
2024-10-14,198.8,154.43,208.56,184.7,95.39,172.21,196.72
2024-10-15,203.42,155.66,207.53,182.47,95.91,168.89,203.75
2024-10-16,205.05,157.55,202.87,183.99,95.64,168.46,195.71
2024-10-17,205.36,153.43,202.31,186.42,96.88,166.52,197.79
2024-10-18,206.28,153.51,203.12,189.93,93.71,166.45,192.65
2024-10-19,208.38,154.29,202.04,193.48,94.09,169.62,192.09
2024-10-20,212.22,155.33,197.1,193.32,95.22,168.54,191.94
2024-10-21,210.74,155.01,194.68,194.47,93.16,168.52,196.38
2024-10-22,208.69,155.46,199.03,198.35,94.81,168.75,194.44
2024-10-23,210.09,153.86,203.41,197.55,95.33,170.98,198.35
2024-10-24,215.14,149.84,200.8,198.78,94.79,165.3,194.94
2024-10-25,210.86,152.13,202.93,197.9,95.73,163.88,198.98
2024-10-26,212.22,149.61,199.44,196.36,99.04,164.48,197.66
2024-10-27,216.44,149.33,203.74,196.6,99.36,167.52,197.98
2024-10-28,218.55,147.72,204.6,194.68,99.78,166.37,197.08
2024-10-29,219.74,151.31,207.61,194.39,99.15,161.77,200.97
2024-10-30,221.63,151.21,202.37,191.47,97.93,163.36,204.35
2024-10-31,227.74,150.58,204.53,191.02,99.2,161.88,205.81
2024-11-01,230.57,152.35,204.61,192.4,97.98,159.07,202.36
2024-11-02,225.32,157.35,207.33,190.8,98.13,157.66,200.29
2024-11-03,225.15,158.39,210.28,190.92,97.48,157.31,197.3
2024-11-04,225.56,157.57,210.59,191.41,98.22,155.96,190.74
2024-11-05,229.14,159.29,208.8,192.81,98.77,150.88,194.45
2024-11-06,229.54,155.62,211.34,192.52,100.35,152.98,193.59
2024-11-07,229.71,155.8,211.26,195.75,99.63,155.98,192.7
2024-11-08,229.97,160.54,208.6,189.68,99.28,157.59,197.12
2024-11-09,230.91,161.0,205.82,198.13,97.87,154.98,195.81
2024-11-10,230.71,161.34,201.37,195.64,97.27,154.59,193.44
2024-11-11,229.37,161.47,199.93,196.92,97.87,154.65,192.89
2024-11-12,228.98,160.59,203.33,194.25,99.03,156.11,189.71
2024-11-13,230.14,161.43,203.98,196.23,97.71,157.76,190.78
2024-11-14,232.4,163.39,202.46,197.14,99.03,156.1,189.81
2024-11-15,242.05,162.66,205.0,195.31,101.1,156.37,188.46
2024-11-16,237.35,156.66,202.55,198.55,101.77,157.52,186.87
2024-11-17,239.56,157.83,202.94,198.16,104.69,161.04,186.67
2024-11-18,244.98,162.96,202.49,199.89,103.53,162.82,187.0
2024-11-19,242.26,162.13,204.96,197.24,101.64,164.83,185.63
2024-11-20,244.87,158.63,200.21,197.25,98.98,165.12,184.73
2024-11-21,243.65,160.32,197.76,203.27,101.25,168.69,184.59
2024-11-22,241.89,164.59,193.0,206.31,102.3,169.82,184.18
2024-11-23,239.35,165.98,192.34,207.37,102.26,167.71,184.36
2024-11-24,239.14,170.36,195.93,206.07,102.75,171.32,182.58
2024-11-25,238.8,172.47,194.55,206.39,101.06,173.2,185.42
2024-11-26,241.62,174.39,193.15,207.1,104.82,172.14,185.78
2024-11-27,236.51,173.12,195.78,208.6,105.08,170.98,184.47
2024-11-28,239.64,173.95,199.01,205.33,105.3,171.83,185.52
2024-11-29,242.74,173.96,198.85,207.5,106.5,173.11,185.4
2024-11-30,243.98,173.88,200.99,204.21,107.32,173.71,180.67
2024-12-01,252.48,173.3,197.84,209.31,107.74,174.61,181.69
2024-12-02,257.27,173.98,202.03,206.99,106.51,179.15,179.0
2024-12-03,255.47,170.68,208.64,208.01,107.32,182.12,181.6
2024-12-04,251.04,172.84,210.38,211.25,110.4,182.73,181.03
2024-12-05,248.57,170.66,203.91,210.56,112.68,185.4,183.24
2024-12-06,246.53,170.1,202.3,211.74,115.43,182.62,181.6
2024-12-07,239.89,171.03,204.26,216.4,114.61,183.8,181.88
2024-12-08,241.79,168.74,203.07,218.34,112.96,188.88,185.27
2024-12-09,237.15,163.84,207.05,219.62,112.81,188.36,184.62
2024-12-10,238.1,162.98,208.98,214.18,112.96,186.06,183.07
2024-12-11,241.56,159.57,206.87,211.29,114.87,184.33,184.97
2024-12-12,246.76,161.35,207.07,214.71,112.01,181.41,186.82
2024-12-13,245.95,158.64,204.4,216.65,114.63,179.36,185.38
