date,IJH
2024-08-08,131.75
2024-08-09,135.11
2024-08-10,137.66
2024-08-11,137.32
2024-08-12,136.64
2024-08-13,133.28
2024-08-14,137.42
2024-08-15,138.45
2024-08-16,137.5
2024-08-17,140.31
2024-08-18,138.33
2024-08-19,139.24
2024-08-20,138.95
2024-08-21,140.35
2024-08-22,140.29
2024-08-23,137.31
2024-08-24,137.53
2024-08-25,139.76
2024-08-26,139.77
2024-08-27,141.47
2024-08-28,139.32
2024-08-29,139.34
2024-08-30,138.1
2024-08-31,139.72
2024-09-01,139.85
2024-09-02,141.37
2024-09-03,143.75
2024-09-04,145.31
2024-09-05,145.98
2024-09-06,143.86
2024-09-07,143.93
2024-09-08,142.85
2024-09-09,142.19
2024-09-10,141.46
2024-09-11,139.45
2024-09-12,135.43
2024-09-13,134.14
2024-09-14,134.59
2024-09-15,131.94
2024-09-16,132.03
2024-09-17,135.86
2024-09-18,138.02
2024-09-19,141.49
2024-09-20,142.39
2024-09-21,144.95
2024-09-22,143.45
2024-09-23,142.14
2024-09-24,136.37
2024-09-25,138.86
2024-09-26,142.14
2024-09-27,141.03
2024-09-28,140.57
2024-09-29,139.05
2024-09-30,139.91
2024-10-01,142.35
2024-10-02,138.7
2024-10-03,139.62
2024-10-04,139.11
2024-10-05,139.41
2024-10-06,140.44
2024-10-07,140.12
2024-10-08,139.97
2024-10-09,139.59
2024-10-10,141.69
2024-10-11,142.65
2024-10-12,143.2
2024-10-13,140.54
2024-10-14,139.81
2024-10-15,141.76
2024-10-16,141.91
2024-10-17,143.39
2024-10-18,147.26
2024-10-19,149.63
2024-10-20,149.91
2024-10-21,148.84
2024-10-22,143.21
2024-10-23,142.92
2024-10-24,142.29
2024-10-25,143.2
2024-10-26,142.94
2024-10-27,142.32
2024-10-28,138.6
2024-10-29,136.71
2024-10-30,137.76
2024-10-31,141.37
2024-11-01,141.24
2024-11-02,142.0
2024-11-03,144.1
2024-11-04,142.42
2024-11-05,143.27
2024-11-06,141.76
2024-11-07,143.66
2024-11-08,144.06
2024-11-09,144.78
2024-11-10,143.15
2024-11-11,144.74
2024-11-12,149.34
2024-11-13,147.16
2024-11-14,146.48
2024-11-15,147.06
2024-11-16,148.87
2024-11-17,147.7
2024-11-18,141.49
2024-11-19,144.45
2024-11-20,146.17
2024-11-21,142.42
2024-11-22,141.19
2024-11-23,144.59
2024-11-24,147.8
2024-11-25,149.95
2024-11-26,149.63
2024-11-27,149.89
2024-11-28,149.67
2024-11-29,152.28
2024-11-30,150.36
2024-12-01,148.62
2024-12-02,150.94
2024-12-03,150.92
2024-12-04,154.11
2024-12-05,152.64
2024-12-06,152.59
2024-12-07,150.55
2024-12-08,150.65
2024-12-09,147.38
2024-12-10,146.38
2024-12-11,143.3
2024-12-12,144.86
2024-12-13,146.49
2024-12-14,142.76
2024-12-15,145.69
2024-12-16,151.22
2024-12-17,151.4
2024-12-18,150.02
2024-12-19,156.45
2024-12-20,153.43
2024-12-21,153.55
2024-12-22,154.04
2024-12-23,157.23
2024-12-24,158.16
2024-12-25,157.05
2024-12-26,154.89
2024-12-27,154.17
2024-12-28,151.92
2024-12-29,152.11
2024-12-30,150.9
2024-12-31,147.59
2025-01-01,150.44
2025-01-02,149.39
2025-01-03,146.63
2025-01-04,146.33
2025-01-05,146.55
2025-01-06,142.79
2025-01-07,143.57
2025-01-08,141.39
2025-01-09,145.09
2025-01-10,146.3
2025-01-11,145.49
2025-01-12,143.94
2025-01-13,143.79
2025-01-14,145.18
2025-01-15,145.2
2025-01-16,144.8
2025-01-17,144.99
2025-01-18,143.75
2025-01-19,143.09
2025-01-20,138.68
2025-01-21,140.78
2025-01-22,141.48
2025-01-23,139.91
2025-01-24,143.96
2025-01-25,144.22
2025-01-26,142.05
2025-01-27,143.95
2025-01-28,144.88
2025-01-29,145.81
2025-01-30,144.95
2025-01-31,146.0
2025-02-01,145.5
2025-02-02,146.79
2025-02-03,142.67
2025-02-04,141.81
2025-02-05,145.55
2025-02-06,143.94
2025-02-07,142.71
2025-02-08,141.82
2025-02-09,139.31
2025-02-10,134.77
2025-02-11,134.37
2025-02-12,134.71
