ticker,weight,description,exposure,cash,safe_fraction
AAPL,0.1556,Apple Inc.,0.1556,0.0,0.0
MSFT,0.1556,Microsoft Corp.,0.1556,0.0,0.0
AMZN,0.1111,Amazon.com Inc.,0.1111,0.0,0.0
GOOGL,0.0889,Alphabet Inc. (Class A),0.0889,0.0,0.0
META,0.0667,Meta Platforms Inc.,0.0667,0.0,0.0
NVDA,0.1333,NVIDIA Corp.,0.1333,0.0,0.0
BRK-B,0.0889,Berkshire Hathaway Inc. (B),0.0889,0.0,0.0
UNH,0.0667,UnitedHealth Group Inc.,0.0667,0.0,0.0
JPM,0.0667,JPMorgan Chase & Co.,0.0667,0.0,0.0
XOM,0.0665,Exxon Mobil Corp.,0.0665,0.0,0.0
