date,ZS,DDOG,NET
2024-08-08,145.42,159.03,131.04
2024-08-09,147.55,160.42,132.12
2024-08-10,147.19,160.65,131.27
2024-08-11,147.9,157.76,135.15
2024-08-12,145.14,156.7,131.68
2024-08-13,149.55,151.04,131.86
2024-08-14,147.71,151.12,131.49
2024-08-15,147.22,147.99,130.47
2024-08-16,147.52,149.07,129.17
2024-08-17,147.35,147.69,129.22
2024-08-18,145.97,146.1,128.85
2024-08-19,149.1,146.54,128.16
2024-08-20,151.3,147.19,125.72
2024-08-21,152.11,149.18,122.73
2024-08-22,151.27,148.67,122.26
2024-08-23,153.76,148.51,121.59
2024-08-24,152.77,145.5,121.29
2024-08-25,156.44,148.73,121.15
2024-08-26,156.78,146.72,120.26
2024-08-27,159.75,148.39,119.94
2024-08-28,159.56,150.09,118.46
2024-08-29,159.81,151.07,121.23
2024-08-30,162.83,150.61,119.84
2024-08-31,168.27,149.86,119.23
2024-09-01,172.29,149.79,118.0
2024-09-02,174.64,145.59,116.74
2024-09-03,176.27,145.61,116.85
2024-09-04,175.02,148.93,116.73
2024-09-05,175.88,148.5,115.98
2024-09-06,173.56,148.5,115.54
2024-09-07,174.63,146.29,114.35
2024-09-08,175.87,146.77,115.1
2024-09-09,170.78,145.13,118.71
2024-09-10,170.97,147.05,117.21
2024-09-11,172.12,149.64,117.96
2024-09-12,171.99,152.77,118.1
2024-09-13,173.0,149.54,119.34
2024-09-14,169.6,151.24,120.65
2024-09-15,167.71,152.78,121.08
2024-09-16,170.4,151.9,121.07
2024-09-17,170.49,154.7,120.34
2024-09-18,171.44,155.74,119.02
2024-09-19,170.12,159.02,118.91
2024-09-20,170.26,156.08,116.67
2024-09-21,164.46,154.48,115.69
2024-09-22,166.63,154.78,117.67
2024-09-23,171.23,157.58,117.91
2024-09-24,168.58,158.73,119.54
2024-09-25,166.29,156.55,122.24
2024-09-26,167.47,160.8,121.97
2024-09-27,171.26,160.17,122.41
2024-09-28,171.34,158.05,121.92
2024-09-29,168.27,156.29,120.5
2024-09-30,167.82,153.25,118.83
2024-10-01,165.31,148.16,120.4
2024-10-02,163.74,147.97,120.83
2024-10-03,163.07,144.6,124.24
2024-10-04,160.88,145.35,126.11
2024-10-05,159.08,147.57,124.79
2024-10-06,159.34,148.48,126.43
2024-10-07,159.94,148.65,125.91
2024-10-08,156.6,145.29,128.28
2024-10-09,157.61,147.2,127.4
2024-10-10,156.78,151.57,125.46
2024-10-11,158.56,154.85,124.02
2024-10-12,160.49,151.84,122.7
2024-10-13,159.26,151.74,121.21
2024-10-14,160.81,151.17,120.23
2024-10-15,158.87,150.34,121.84
2024-10-16,162.1,150.48,125.18
2024-10-17,160.24,155.44,122.75
2024-10-18,161.17,155.77,125.13
2024-10-19,160.8,154.81,124.3
2024-10-20,158.43,155.58,125.01
2024-10-21,160.65,152.59,121.97
2024-10-22,159.25,151.03,122.99
2024-10-23,155.26,153.34,119.35
2024-10-24,148.63,153.85,119.97
2024-10-25,146.75,158.77,120.5
2024-10-26,149.86,159.49,120.9
2024-10-27,152.76,156.59,119.63
2024-10-28,151.19,152.95,120.68
2024-10-29,150.41,155.32,121.45
2024-10-30,149.44,152.97,121.12
2024-10-31,146.53,150.45,122.4
2024-11-01,144.51,149.37,122.29
2024-11-02,146.71,151.67,123.32
2024-11-03,147.89,150.91,123.15
2024-11-04,148.57,149.08,123.61
2024-11-05,145.67,151.87,124.74
2024-11-06,145.97,154.32,124.06
2024-11-07,141.0,158.25,121.82
2024-11-08,142.85,161.54,122.39
2024-11-09,143.47,164.19,124.63
2024-11-10,140.65,162.42,125.26
2024-11-11,144.13,164.11,125.92
2024-11-12,140.32,167.18,125.9
2024-11-13,141.51,171.92,127.36
2024-11-14,142.76,172.44,127.07
2024-11-15,140.17,171.26,126.26
2024-11-16,140.16,169.07,128.42
2024-11-17,136.79,171.64,127.46
2024-11-18,131.02,170.01,129.23
2024-11-19,128.99,170.37,131.44
2024-11-20,127.86,168.2,132.62
2024-11-21,129.16,167.89,130.2
2024-11-22,129.35,169.08,130.32
2024-11-23,129.6,169.84,129.99
2024-11-24,127.69,171.81,129.09
2024-11-25,126.74,168.35,129.43
2024-11-26,125.04,168.14,130.99
2024-11-27,122.8,167.04,130.15
2024-11-28,121.77,164.66,129.88
2024-11-29,121.97,162.89,129.48
2024-11-30,120.98,160.79,131.8
2024-12-01,120.45,161.71,131.36
2024-12-02,121.77,162.77,128.99
2024-12-03,120.91,164.99,126.01
2024-12-04,118.55,165.88,126.76
2024-12-05,119.62,166.36,125.38
2024-12-06,120.15,166.64,126.7
2024-12-07,120.81,168.41,124.23
2024-12-08,122.0,163.17,123.29
2024-12-09,122.9,163.11,120.89
2024-12-10,123.01,163.97,121.74
2024-12-11,127.49,168.45,122.98
2024-12-12,125.09,165.73,123.67
2024-12-13,124.05,162.96,121.72
2024-12-14,125.92,157.49,120.42
2024-12-15,126.25,154.28,120.9
2024-12-16,127.75,154.01,117.9
2024-12-17,128.14,152.41,117.53
2024-12-18,130.84,150.78,120.27
2024-12-19,128.93,150.91,120.0
2024-12-20,131.59,152.31,117.38
2024-12-21,133.97,152.41,116.37
2024-12-22,131.6,152.55,115.33
2024-12-23,132.91,153.55,119.09
2024-12-24,132.89,149.4,122.12
2024-12-25,131.75,149.77,123.52
2024-12-26,128.08,149.67,122.95
2024-12-27,126.21,149.73,125.23
2024-12-28,127.61,148.5,123.16
2024-12-29,129.23,148.11,125.21
2024-12-30,128.89,149.08,127.02
2024-12-31,130.53,152.75,126.79
2025-01-01,132.45,148.95,129.02
2025-01-02,132.82,150.31,128.22
2025-01-03,131.45,153.13,125.85
2025-01-04,132.38,150.29,127.76
2025-01-05,133.42,149.96,127.66
2025-01-06,134.83,150.65,128.88
2025-01-07,136.65,155.27,132.46
2025-01-08,133.93,160.41,131.09
2025-01-09,132.97,157.43,130.88
2025-01-10,129.25,156.79,134.02
2025-01-11,130.76,157.34,135.43
2025-01-12,130.41,158.73,134.08
2025-01-13,131.32,159.29,132.23
2025-01-14,128.48,157.1,131.24
2025-01-15,131.24,154.85,129.86
2025-01-16,128.96,151.34,130.38
2025-01-17,130.52,146.83,130.6
2025-01-18,130.81,143.46,131.21
2025-01-19,130.51,146.03,129.63
2025-01-20,130.04,147.66,129.55
2025-01-21,128.86,148.96,125.62
2025-01-22,131.43,148.54,125.96
2025-01-23,131.52,148.52,128.24
2025-01-24,129.09,147.99,125.57
2025-01-25,128.41,144.54,126.54
2025-01-26,128.72,146.02,125.44
2025-01-27,130.52,147.96,127.02
2025-01-28,129.4,145.48,127.38
2025-01-29,128.42,143.04,128.22
2025-01-30,128.53,143.87,128.41
2025-01-31,130.28,144.68,131.03
2025-02-01,127.67,146.34,131.78
2025-02-02,128.7,149.52,130.45
2025-02-03,127.87,147.22,130.71
2025-02-04,127.31,147.11,130.05
2025-02-05,131.19,144.98,130.43
2025-02-06,130.87,143.03,129.68
2025-02-07,132.42,142.18,128.42
2025-02-08,133.91,145.33,128.87
2025-02-09,131.61,147.81,129.04
2025-02-10,128.03,147.72,131.17
2025-02-11,129.67,143.01,130.42
2025-02-12,127.63,143.93,126.61
2025-02-13,124.51,144.8,125.98
2025-02-14,126.49,142.84,122.97
2025-02-15,124.62,144.69,123.8
2025-02-16,123.23,142.7,120.75
2025-02-17,126.95,144.54,119.02
2025-02-18,123.85,145.13,118.43
2025-02-19,121.58,142.03,121.24
2025-02-20,120.8,141.33,119.35
2025-02-21,120.42,141.71,119.43
2025-02-22,118.87,142.42,120.53
2025-02-23,116.86,144.69,123.27
2025-02-24,119.57,147.28,124.77
2025-02-25,120.1,146.83,126.88
2025-02-26,121.21,148.13,128.59
2025-02-27,121.03,151.78,126.32
2025-02-28,121.61,149.53,127.06
2025-03-01,123.37,148.25,128.75
2025-03-02,121.59,144.64,126.96
2025-03-03,122.14,143.34,125.92
2025-03-04,123.47,143.86,124.47
2025-03-05,126.4,139.36,125.97
2025-03-06,130.15,140.34,125.9
2025-03-07,130.35,139.42,125.36
2025-03-08,132.64,139.36,123.01
2025-03-09,127.4,136.99,122.95
2025-03-10,130.43,136.84,121.97
2025-03-11,129.07,140.36,122.47
2025-03-12,128.67,139.59,120.43
2025-03-13,129.59,135.02,120.82
2025-03-14,129.35,137.55,120.08
2025-03-15,129.8,138.74,117.89
2025-03-16,132.96,139.0,115.6
2025-03-17,132.26,140.26,113.62
2025-03-18,130.17,140.5,113.32
2025-03-19,133.77,144.03,113.59
2025-03-20,134.9,145.73,114.1
2025-03-21,138.85,144.81,114.69
2025-03-22,140.72,148.12,113.44
2025-03-23,138.0,152.24,115.3
2025-03-24,139.4,154.39,114.59
2025-03-25,137.41,155.41,115.42
2025-03-26,137.5,153.5,115.19
2025-03-27,137.41,155.15,115.9
2025-03-28,134.14,156.13,115.59
2025-03-29,132.58,156.15,116.33
2025-03-30,137.03,157.87,116.37
2025-03-31,137.59,158.15,117.85
2025-04-01,137.29,159.53,116.46
2025-04-02,141.1,162.09,113.43
2025-04-03,140.33,158.93,111.83
2025-04-04,140.2,156.57,113.68
2025-04-05,142.36,154.51,113.47
2025-04-06,141.57,159.08,113.68
2025-04-07,140.06,160.67,111.94
2025-04-08,135.39,162.5,112.11
2025-04-09,133.56,165.34,110.45
2025-04-10,131.73,162.82,109.05
2025-04-11,132.11,157.93,108.45
2025-04-12,130.97,157.86,109.23
