# ================================
# Growth Wave_positions_20251206.csv
# ================================
ticker,weight,market_value
AAPL,0.12,120000
MSFT,0.11,115000
NVDA,0.10,110000
AMZN,0.10,105000
META,0.09,95000
TSLA,0.08,85000
GOOGL,0.08,85000
AVGO,0.07,75000
COST,0.07,70000
ADBE,0.06,60000



# =======================================
# Income Wave_positions_20251206.csv
# =======================================
ticker,weight,market_value
HD,0.11,110000
KO,0.10,100000
JNJ,0.10,100000
PG,0.10,100000
PEP,0.09,90000
MCD,0.09,85000
T,0.08,80000
VZ,0.08,78000
XOM,0.08,76000
CVX,0.07,70000



# ==================================================
# Small Cap Growth Wave_positions_20251206.csv
# ==================================================
ticker,weight,market_value
PLUG,0.10,60000
APPF,0.10,60000
ENPH,0.09,55000
FSLY,0.09,54000
SMAR,0.09,53000
ROKU,0.09,52000
BILL,0.08,50000
DDOG,0.08,48000
ZS,0.08,47000
OKTA,0.08,46000



# ============================================================
# Small to Mid Cap Growth Wave_positions_20251206.csv
# ============================================================
ticker,weight,market_value
CELH,0.10,90000
NET,0.10,88000
CRWD,0.10,87000
SNOW,0.09,85000
MDB,0.09,83000
TEAM,0.09,82000
ABNB,0.08,80000
PANW,0.08,78000
ZS,0.08,76000
PLTR,0.07,70000



# ===================================================
# Future Power & Energy Wave_positions_20251206.csv
# ===================================================
ticker,weight,market_value
NEE,0.12,100000
ENPH,0.11,95000
TSLA,0.10,90000
PLUG,0.10,85000
BLDP,0.09,80000
RUN,0.09,78000
SEDG,0.08,75000
FSLR,0.08,73000
BE,0.07,65000
AQN,0.06,60000



# ===============================================
# Crypto Income Wave_positions_20251206.csv
# ===============================================
ticker,weight,market_value
COIN,0.12,120000
MSTR,0.12,115000
HUT,0.10,90000
RIOT,0.10,88000
MARA,0.10,86000
BITO,0.10,84000
GBTC,0.09,80000
HIVE,0.08,76000
WULF,0.07,70000
BKCH,0.06,65000



# ===================================================
# Quantum Computing Wave_positions_20251206.csv
# ===================================================
ticker,weight,market_value
NVDA,0.12,120000
AMD,0.11,110000
QUBT,0.10,90000
IONQ,0.10,88000
IBM,0.10,87000
AMZN,0.09,85000
GOOGL,0.09,83000
RGTI,0.08,78000
ARQQ,0.07,70000
MSFT,0.07,69000



# ================================================
# RWA Income Wave_positions_20251206.csv
# ================================================
ticker,weight,market_value
O,0.11,110000
SPG,0.10,100000
PLD,0.10,95000
AMT,0.10,94000
CCI,0.09,90000
DLR,0.09,88000
STOR,0.08,83000
VNQ,0.08,80000
WPC,0.08,78000
ARE,0.07,70000



# ================================================
# S&P 500 Wave_positions_20251206.csv
# ================================================
ticker,weight,market_value
AAPL,0.07,140000
MSFT,0.06,130000
AMZN,0.04,90000
NVDA,0.04,88000
GOOGL,0.04,85000
META,0.03,72000
BRK.B,0.03,70000
TSLA,0.02,60000
AVGO,0.02,58000
UNH,0.02,56000

