ticker,original_forms,created_date,source
AAPL,AAPL,2025-12-28 12:37:49,WAVE_WEIGHTS
AAVE-USD,AAVE-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
ADA-USD,ADA-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
ADBE,ADBE,2025-12-28 12:37:49,WAVE_WEIGHTS
AGIX-USD,AGIX-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
AMD,AMD,2025-12-28 12:37:49,WAVE_WEIGHTS
AMZN,AMZN,2025-12-28 12:37:49,WAVE_WEIGHTS
APT-USD,APT-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
ARB-USD,ARB-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
ARKK,ARKK,2025-12-28 12:37:49,WAVE_WEIGHTS
ATOM-USD,ATOM-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
AVAX-USD,AVAX-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
AVGO,AVGO,2025-12-28 12:37:49,WAVE_WEIGHTS
BE,BE,2025-12-28 12:37:49,WAVE_WEIGHTS
BIL,BIL,2025-12-28 12:37:49,WAVE_WEIGHTS
BNB-USD,BNB-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
BP,BP,2025-12-28 12:37:49,WAVE_WEIGHTS
BRK-B,BRK-B,2025-12-28 12:37:49,WAVE_WEIGHTS
BTC-USD,BTC-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
CAKE-USD,CAKE-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
CAT,CAT,2025-12-28 12:37:49,WAVE_WEIGHTS
CHPT,CHPT,2025-12-28 12:37:49,WAVE_WEIGHTS
COMP-USD,COMP-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
CRM,CRM,2025-12-28 12:37:49,WAVE_WEIGHTS
CRV-USD,CRV-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
CVX,CVX,2025-12-28 12:37:49,WAVE_WEIGHTS
