ticker,source,date_generated
AAPL,complete_build,2026-01-04 12:52:01
AAVE-USD,complete_build,2026-01-04 12:52:01
ADA-USD,complete_build,2026-01-04 12:52:01
ADBE,complete_build,2026-01-04 12:52:01
AGG,complete_build,2026-01-04 12:52:01
AGIX-USD,complete_build,2026-01-04 12:52:01
AMD,complete_build,2026-01-04 12:52:01
AMZN,complete_build,2026-01-04 12:52:01
APT-USD,complete_build,2026-01-04 12:52:01
ARB-USD,complete_build,2026-01-04 12:52:01
ARKK,complete_build,2026-01-04 12:52:01
ATOM-USD,complete_build,2026-01-04 12:52:01
AVAX-USD,complete_build,2026-01-04 12:52:01
AVGO,complete_build,2026-01-04 12:52:01
BE,complete_build,2026-01-04 12:52:01
BIL,complete_build,2026-01-04 12:52:01
BNB-USD,complete_build,2026-01-04 12:52:01
BND,complete_build,2026-01-04 12:52:01
BP,complete_build,2026-01-04 12:52:01
BRK-B,complete_build,2026-01-04 12:52:01
BTC-USD,complete_build,2026-01-04 12:52:01
CAKE-USD,complete_build,2026-01-04 12:52:01
CAT,complete_build,2026-01-04 12:52:01
CHPT,complete_build,2026-01-04 12:52:01
COMP-USD,complete_build,2026-01-04 12:52:01
CRM,complete_build,2026-01-04 12:52:01
CRV-USD,complete_build,2026-01-04 12:52:01
CVX,complete_build,2026-01-04 12:52:01
DAI-USD,complete_build,2026-01-04 12:52:01
DDOG,complete_build,2026-01-04 12:52:01
DIA,complete_build,2026-01-04 12:52:01
DOT-USD,complete_build,2026-01-04 12:52:01
DVY,complete_build,2026-01-04 12:52:01
ENPH,complete_build,2026-01-04 12:52:01
ETH-USD,complete_build,2026-01-04 12:52:01
F,complete_build,2026-01-04 12:52:01
FET-USD,complete_build,2026-01-04 12:52:01
FSLR,complete_build,2026-01-04 12:52:01
GLD,complete_build,2026-01-04 12:52:01
GM,complete_build,2026-01-04 12:52:01
GOOGL,complete_build,2026-01-04 12:52:01
HDV,complete_build,2026-01-04 12:52:01
HYD,complete_build,2026-01-04 12:52:01
HYG,complete_build,2026-01-04 12:52:01
IAU,complete_build,2026-01-04 12:52:01
IBM,complete_build,2026-01-04 12:52:01
ICLN,complete_build,2026-01-04 12:52:01
ICP-USD,complete_build,2026-01-04 12:52:01
IEF,complete_build,2026-01-04 12:52:01
IGV,complete_build,2026-01-04 12:52:01
IJH,complete_build,2026-01-04 12:52:01
IMX-USD,complete_build,2026-01-04 12:52:01
INJ-USD,complete_build,2026-01-04 12:52:01
INTC,complete_build,2026-01-04 12:52:01
IONQ,complete_build,2026-01-04 12:52:01
IWM,complete_build,2026-01-04 12:52:01
IWO,complete_build,2026-01-04 12:52:01
IWP,complete_build,2026-01-04 12:52:01
IWV,complete_build,2026-01-04 12:52:01
JNJ,complete_build,2026-01-04 12:52:01
JPM,complete_build,2026-01-04 12:52:01
KO,complete_build,2026-01-04 12:52:01
LCID,complete_build,2026-01-04 12:52:01
LDO-USD,complete_build,2026-01-04 12:52:01
LINK-USD,complete_build,2026-01-04 12:52:01
LQD,complete_build,2026-01-04 12:52:01
MATIC-USD,complete_build,2026-01-04 12:52:01
MDY,complete_build,2026-01-04 12:52:01
META,complete_build,2026-01-04 12:52:01
MKR-USD,complete_build,2026-01-04 12:52:01
MLM,complete_build,2026-01-04 12:52:01
MNT-USD,complete_build,2026-01-04 12:52:01
MSFT,complete_build,2026-01-04 12:52:01
MUB,complete_build,2026-01-04 12:52:01
NEAR-USD,complete_build,2026-01-04 12:52:01
NEE,complete_build,2026-01-04 12:52:01
NET,complete_build,2026-01-04 12:52:01
NIO,complete_build,2026-01-04 12:52:01
NOBL,complete_build,2026-01-04 12:52:01
NVDA,complete_build,2026-01-04 12:52:01
OCEAN-USD,complete_build,2026-01-04 12:52:01
OP-USD,complete_build,2026-01-04 12:52:01
ORCL,complete_build,2026-01-04 12:52:01
PAVE,complete_build,2026-01-04 12:52:01
PG,complete_build,2026-01-04 12:52:01
PLUG,complete_build,2026-01-04 12:52:01
QBTS,complete_build,2026-01-04 12:52:01
QCOM,complete_build,2026-01-04 12:52:01
QQQ,complete_build,2026-01-04 12:52:01
RENDER-USD,complete_build,2026-01-04 12:52:01
RGTI,complete_build,2026-01-04 12:52:01
RIVN,complete_build,2026-01-04 12:52:01
RUN,complete_build,2026-01-04 12:52:01
SCHD,complete_build,2026-01-04 12:52:01
SEDG,complete_build,2026-01-04 12:52:01
SGOV,complete_build,2026-01-04 12:52:01
SHM,complete_build,2026-01-04 12:52:01
SHY,complete_build,2026-01-04 12:52:01
SMH,complete_build,2026-01-04 12:52:01
SNOW,complete_build,2026-01-04 12:52:01
SNX-USD,complete_build,2026-01-04 12:52:01
SOL-USD,complete_build,2026-01-04 12:52:01
SPY,complete_build,2026-01-04 12:52:01
STETH-USD,complete_build,2026-01-04 12:52:01
STX-USD,complete_build,2026-01-04 12:52:01
SUB,complete_build,2026-01-04 12:52:01
TAN,complete_build,2026-01-04 12:52:01
TAO-USD,complete_build,2026-01-04 12:52:01
TFI,complete_build,2026-01-04 12:52:01
TLT,complete_build,2026-01-04 12:52:01
TSLA,complete_build,2026-01-04 12:52:01
TSM,complete_build,2026-01-04 12:52:01
UNH,complete_build,2026-01-04 12:52:01
UNI-USD,complete_build,2026-01-04 12:52:01
UNP,complete_build,2026-01-04 12:52:01
USDC-USD,complete_build,2026-01-04 12:52:01
USDT-USD,complete_build,2026-01-04 12:52:01
VBK,complete_build,2026-01-04 12:52:01
VGT,complete_build,2026-01-04 12:52:01
VMC,complete_build,2026-01-04 12:52:01
VTV,complete_build,2026-01-04 12:52:01
VTWO,complete_build,2026-01-04 12:52:01
VYM,complete_build,2026-01-04 12:52:01
WMT,complete_build,2026-01-04 12:52:01
XLE,complete_build,2026-01-04 12:52:01
XLI,complete_build,2026-01-04 12:52:01
XOM,complete_build,2026-01-04 12:52:01
XRP-USD,complete_build,2026-01-04 12:52:01
ZS,complete_build,2026-01-04 12:52:01
^VIX,complete_build,2026-01-04 12:52:01
stETH-USD,complete_build,2026-01-04 12:52:01
