ticker,name,asset_class,index_membership,sector,market_cap_bucket,status,validated,validation_error
A,,equity,SP_500,Equity,,active,not_checked,
AAL,,equity,RUSSELL_3000,Equity,,active,not_checked,
AAP,,equity,SP_500,Equity,,active,not_checked,
AAPL,,equity,"DOW_JONES,NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ABBV,,equity,SP_500,Equity,,active,not_checked,
ABNB,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ABT,,equity,SP_500,Equity,,active,not_checked,
ACAD,,equity,RUSSELL_2000,Equity,,active,not_checked,
ACIW,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ACLS,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ACN,,equity,SP_500,Equity,,active,not_checked,
ADBE,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ADMA,,equity,RUSSELL_2000,Equity,,active,not_checked,
ADP,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ADPT,,equity,RUSSELL_2000,Equity,,active,not_checked,
ADSK,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ADUS,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ADVM,,equity,RUSSELL_2000,Equity,,active,not_checked,
AEE,,equity,SP_500,Equity,,active,not_checked,
AEIS,,equity,"NASDAQ_COMPOSITE,RUSSELL_2000",Equity,,active,not_checked,
AEP,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
AES,,equity,SP_500,Equity,,active,not_checked,
AFL,,equity,SP_500,Equity,,active,not_checked,
AFRM,,equity,"NASDAQ_COMPOSITE,RUSSELL_3000",Equity,,active,not_checked,
AGEN,,equity,"NASDAQ_COMPOSITE,RUSSELL_2000",Equity,,active,not_checked,
AI,,equity,"NASDAQ_COMPOSITE,RUSSELL_3000",Equity,,active,not_checked,
AIG,,equity,SP_500,Equity,,active,not_checked,
AIMC,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AIZ,,equity,SP_500,Equity,,active,not_checked,
AJG,,equity,SP_500,Equity,,active,not_checked,
AKAM,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
AKRO,,equity,RUSSELL_2000,Equity,,active,not_checked,
ALB,,equity,SP_500,Equity,,active,not_checked,
ALEC,,equity,RUSSELL_2000,Equity,,active,not_checked,
ALGM,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ALGN,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ALGT,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ALHC,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ALK,,equity,RUSSELL_3000,Equity,,active,not_checked,
ALKS,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ALKT,,equity,RUSSELL_2000,Equity,,active,not_checked,
ALL,,equity,SP_500,Equity,,active,not_checked,
ALLO,,equity,RUSSELL_2000,Equity,,active,not_checked,
ALNY,,equity,"NASDAQ_COMPOSITE,RUSSELL_3000",Equity,,active,not_checked,
ALPN,,equity,RUSSELL_2000,Equity,,active,not_checked,
ALRM,,equity,RUSSELL_2000,Equity,,active,not_checked,
ALVR,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMAT,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
AMC,,equity,RUSSELL_2000,Equity,,active,not_checked,
AMCR,,equity,SP_500,Equity,,active,not_checked,
AMD,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
AMED,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMGN,,equity,"DOW_JONES,NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
AMKR,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMP,,equity,SP_500,Equity,,active,not_checked,
AMPH,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMRN,,equity,RUSSELL_2000,Equity,,active,not_checked,
AMSF,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMSWA,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMT,,equity,SP_500,Equity,,active,not_checked,
AMWD,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AMZN,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
ANAB,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ANAT,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ANDE,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ANGI,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ANGO,,equity,RUSSELL_2000,Equity,,active,not_checked,
ANIP,,equity,"NASDAQ_COMPOSITE,RUSSELL_2000",Equity,,active,not_checked,
ANSS,,equity,"NASDAQ_COMPOSITE,SP_500",Equity,,active,not_checked,
AON,,equity,SP_500,Equity,,active,not_checked,
AOS,,equity,SP_500,Equity,,active,not_checked,
APA,,equity,SP_500,Equity,,active,not_checked,
APAM,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
APD,,equity,SP_500,Equity,,active,not_checked,
APE,,equity,RUSSELL_2000,Equity,,active,not_checked,
APEI,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
APEN,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
APH,,equity,SP_500,Equity,,active,not_checked,
APLS,,equity,RUSSELL_2000,Equity,,active,not_checked,
APOG,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
APPF,,equity,"NASDAQ_COMPOSITE,RUSSELL_2000",Equity,,active,not_checked,
APPS,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
APRE,,equity,"NASDAQ_COMPOSITE,RUSSELL_2000",Equity,,active,not_checked,
APTS,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
APTV,,equity,SP_500,Equity,,active,not_checked,
APTX,,equity,RUSSELL_2000,Equity,,active,not_checked,
APYX,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AQMS,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
AQST,,equity,RUSSELL_2000,Equity,,active,not_checked,
ARBK,,equity,RUSSELL_2000,Equity,,active,not_checked,
ARCB,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ARCC,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ARCH,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
ARDS,,equity,RUSSELL_2000,Equity,,active,not_checked,
ARDX,,equity,NASDAQ_COMPOSITE,Equity,,active,not_checked,
